Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31
1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31
1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1599864.015,06/03/2022,215800,NY,Complaint,Partial,,452319,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1599901.015,06/03/2022,418600,FL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1598544.015,05/24/2022,418200,GA,Complaint,Partial,,452319,7,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1597335.015,05/20/2022,452110,KY,Complaint,Partial,5399.0,452990,5,65004 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31
1596914.015,05/19/2022,418300,AL,Complaint,Partial,,452319,5,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1597065.015,05/19/2022,418600,AL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1596336.015,05/17/2022,452110,KY,Complaint,Partial,5399.0,452990,1,64994 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31
1593249.015,04/29/2022,418300,AL,Complaint,Partial,,452319,7,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1592570.015,04/28/2022,418300,AL,Complaint,Partial,,452319,4,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1592900.015,04/27/2022,728500,MO,Complaint,Partial,,453998,4,Dollar General,Dollar General,2012-12-31,2022-12-31
1592340.015,04/27/2022,636900,TX,Complaint,Partial,,452319,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1590827.015,04/19/2022,418100,GA,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1590571.015,04/19/2022,418600,AL,Complaint,Complete,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1590051.015,04/14/2022,452110,KY,Complaint,Partial,5399.0,452990,1,64884 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1589448.015,04/12/2022,418600,AL,Complaint,Complete,,452210,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1588719.015,04/08/2022,420600,FL,Complaint,Partial,,453220,5,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31
1586442.015,03/29/2022,418200,GA,Complaint,Partial,,445120,4,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1585314.015,03/23/2022,454712,TN,Planned,Complete,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1585315.015,03/23/2022,418200,GA,Complaint,Partial,,445120,5,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1582871.015,03/11/2022,454722,TN,Complaint,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1580600.015,02/28/2022,452110,KY,Complaint,Partial,5399.0,452990,1,64728 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1578203.015,02/14/2022,418400,GA,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1575910.015,02/02/2022,522500,OH,Complaint,Partial,,493110,1,Dollar General Distribution Center,Dollar General,2012-12-31,2022-12-31
1571838.015,01/11/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General Store 6274,Dollar General,2012-12-31,2022-12-31
1572077.015,01/11/2022,729700,KS,Complaint,Partial,,445110,1,Dollar General,Dollar General,2012-12-31,2022-12-31
1570337.015,12/28/2021,316700,PA,Complaint,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1568259.015,12/16/2021,627100,AR,Fat/Cat,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1567718.015,12/08/2021,452110,KY,Complaint,Partial,5999.0,453998,4,64508 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31
1565322.015,11/23/2021,215800,NY,Complaint,Complete,,452210,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1564582.015,11/18/2021,452110,KY,Referral,Partial,5999.0,453998,3,64446 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31
1565904.015,11/18/2021,316400,WV,Complaint,Complete,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1560126.015,10/29/2021,551800,IN,Complaint,Partial,5411.0,445110,3,112452 - Dollar General,Dollar General,2012-12-31,2022-12-31
1559982.015,10/25/2021,626000,TX,Referral,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1551005.015,08/31/2021,418200,GA,Monitoring,Partial,,445120,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1550140.015,08/26/2021,551800,IN,Complaint,Partial,5411.0,445120,1,112265 - Dollar General Store 19838,Dollar General,2012-12-31,2022-12-31
1545894.015,08/04/2021,751910,IA,Complaint,Complete,,452319,2,Dollar General,Dollar General,2012-12-31,2022-12-31
1466752.015,06/11/2021,552652,MI,Complaint,Partial,,452319,2,Dollar General Store #18891,Dollar General,2012-12-31,2022-12-31
1535655.015,06/10/2021,729300,MO,Complaint,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31
1524910.015,04/13/2021,950624,CA,Complaint,Partial,,493110,2,Dollar General,Dollar General,2012-12-31,2022-12-31
