Type,Activity Nr,Safety,Health,activity_code
Complaint,1943272,Yes,,1619753.015
Complaint,1868426,Yes,,1617010.015
Complaint,1920122,Yes,,1609906.015
Complaint,1915759,Yes,,1607451.015
Complaint,1905526,Yes,,1601808.015
Complaint,1900710,Yes,Yes,1599864.015
Complaint,1898429,Yes,,1599901.015
Complaint,1894960,Yes,,1598544.015
Complaint,1896742,Yes,,1597335.015
Complaint,1932346,Yes,,1597335.015
Complaint,1894557,Yes,,1596914.015
Complaint,1894765,Yes,,1597065.015
Complaint,1895361,Yes,,1596336.015
Complaint,1887996,Yes,Yes,1593249.015
Complaint,1888069,Yes,Yes,1592570.015
Complaint,1886797,Yes,Yes,1592900.015
Complaint,1885461,Yes,,1592340.015
Complaint,1884810,Yes,,1590827.015
Complaint,1885439,Yes,,1590571.015
Complaint,1847259,Yes,,1590051.015
Complaint,1883904,Yes,,1589448.015
Complaint,1881160,Yes,,1588719.015
Complaint,1878304,Yes,,1586442.015
Complaint,1876274,Yes,Yes,1585315.015
Complaint,1841028,,Yes,1582871.015
Complaint,1870766,Yes,,1580600.015
Complaint,1870767,Yes,,1580600.015
Complaint,1864137,,Yes,1578203.015
Complaint,1859013,Yes,,1575910.015
Complaint,1780506,Yes,,1571838.015
Complaint,1848235,Yes,,1572077.015
Accident,1841918,,,1568259.015
Complaint,1840446,Yes,,1567718.015
Complaint,1835789,Yes,,1565322.015
Referral,1835114,Yes,,1564582.015
Complaint,1833217,Yes,,1565904.015
Complaint,1824335,Yes,,1560126.015
Referral,1826356,Yes,Yes,1559982.015
Complaint,1751667,Yes,,1551005.015
Complaint,1799958,Yes,,1550140.015
Complaint,1793561,,Yes,1545894.015
Complaint,1485391,,Yes,1466752.015
Complaint,1765897,Yes,,1535655.015
Complaint,1756039,Yes,,1524910.015
Complaint,1749309,,Yes,1522252.015
Complaint,1740677,Yes,,1517332.015
Complaint,1736954,Yes,,1516101.015
Complaint,1705497,Yes,,1510662.015
Complaint,1668887,Yes,,1511904.015
Complaint,1712208,,Yes,1509745.015
Complaint,1679550,Yes,,1500289.015
Complaint,1674037,Yes,,1498759.015
Complaint,1657327,Yes,,1492446.015
Complaint,1641356,,Yes,1487770.015
Complaint,1684373,,Yes,1487770.015
Accident,1639000,,,1487012.015
Complaint,1622093,Yes,,1483184.015
Complaint,1550972,Yes,,1469985.015
Complaint,1549088,Yes,Yes,1467642.015
Complaint,1540482,,Yes,1461290.015
Complaint,1535975,Yes,,1459326.015
Complaint,1531431,Yes,,1455352.015
Complaint,1530500,,Yes,1455290.015
Referral,1526713,Yes,Yes,1453100.015
Inspection,1456515,Yes,,1453100.015
Complaint,1517313,Yes,,1451004.015
Complaint,1522300,Yes,,1450479.015
Complaint,1510556,Yes,,1439273.015
Complaint,1503595,Yes,,1436276.015
Complaint,1487030,Yes,,1422645.015
Complaint,1485855,Yes,,1421761.015
Complaint,1473641,,Yes,1417285.015
Complaint,1443710,Yes,,1403214.015
Complaint,1447210,,Yes,1395846.015
Complaint,1423751,,Yes,1390605.015
Complaint,1429535,Yes,,1381030.015
Complaint,1419938,,Yes,1375565.015
Complaint,1379766,Yes,,1352167.015
Complaint,1377072,,Yes,1348061.015
Referral,1367821,Yes,Yes,1336307.015
Referral,1354978,Yes,,1329056.015
Inspection,1329311,Yes,,1329056.015
Complaint,1348727,,Yes,1323162.015
Complaint,1316107,Yes,,1301615.015
Inspection,1077466,Yes,,1283802.015
Complaint,1279612,Yes,,1280975.015
Complaint,1254315,,Yes,1265352.015
Complaint,1198076,Yes,,1225250.015
Complaint,1199575,Yes,,1226089.015
Complaint,1164128,Yes,,1203374.015
Complaint,1170310,Yes,,1201133.015
Complaint,1162592,Yes,,1200685.015
Complaint,1158218,Yes,,1195208.015
Complaint,1155504,Yes,,1192554.015
Complaint,1146593,Yes,,1184028.015
Complaint,1141751,Yes,,1181678.015
Inspection,1184013,Yes,,1181678.015
Complaint,1138699,Yes,,1180314.015
Complaint,1130213,Yes,,1175610.015
Complaint,1128664,Yes,,1172115.015
Complaint,1123841,Yes,,1170666.015
Complaint,1119421,Yes,,1167738.015
Complaint,1107022,Yes,,1158861.015
Complaint,1096007,Yes,Yes,1153779.015
Complaint,1080324,Yes,,1141463.015
Complaint,1058613,Yes,,1122251.015
Complaint,1056461,,Yes,1121762.015
Complaint,1056913,,Yes,1121762.015
Complaint,1035329,Yes,,1105836.015
Complaint,1018842,Yes,,1092862.015
Complaint,1000852,Yes,,1079401.015
Complaint,999418,Yes,,1077466.015
Complaint,998242,Yes,,1076134.015
Complaint,996536,Yes,,1075508.015
Complaint,978604,Yes,,1059564.015
Complaint,976389,Yes,,1057017.015
Complaint,976860,Yes,,1057045.015
Complaint,964060,Yes,,1048760.015
Inspection,1047652,Yes,,1047625.015
Complaint,969651,Yes,Yes,1047625.015
Complaint,969651,Yes,Yes,1047652.015
Inspection,1047625,,Yes,1047652.015
Complaint,929790,Yes,,1016430.015
Complaint,913838,Yes,,1012465.015
Complaint,920792,Yes,,1008065.015
Complaint,905141,Yes,,1003589.015
Accident,102862125,,,316983402.0
Complaint,904967,,Yes,992417.015
Referral,201152774,Yes,Yes,317730505.0
Complaint,902449,Yes,,990109.015
Complaint,892012,Yes,,989776.015
Complaint,900897,Yes,,989056.015
Complaint,897051,Yes,,985177.015
Complaint,209219757,Yes,,317692705.0
Complaint,209320910,,Yes,317724094.0
Complaint,208929141,Yes,,317403848.0
Complaint,208727974,Yes,,317313856.0
Accident,100365162,,,317275378.0
Referral,203287602,Yes,,317275378.0
Complaint,209069772,Yes,,317155430.0
Complaint,818964,,Yes,907752.015
Complaint,733771,Yes,,892872.015
Complaint,756971,,Yes,892646.015
Complaint,208833590,Yes,,316624287.0
Accident,690251,,,765542.015
Complaint,208436089,,Yes,316547587.0
Referral,654531,Yes,,728361.015
Complaint,208914804,,Yes,316754340.0
Complaint,472870,,Yes,588783.015
Complaint,208842427,,Yes,315386185.0
Complaint,207264532,Yes,,316614528.0
Complaint,208794362,Yes,,316553668.0
Complaint,207834110,Yes,,315978684.0
Complaint,208079566,Yes,,316034271.0
Complaint,208010918,Yes,,315884858.0
Complaint,77071,Yes,,97358.015
Complaint,207527664,Yes,Yes,315637421.0
Inspection,315651414,,,315651430.0
Complaint,208254045,Yes,,314307455.0
Complaint,208249052,Yes,,313826208.0
Complaint,208122697,,Yes,314910894.0
Complaint,207084369,Yes,,314276445.0
