,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,Initial Violations,,2,,,,2,1619753.015
1,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,Current Violations,,2,,,,2,1619753.015
2,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,Initial Penalty,$0,"$140,000",$0,$0,$0,"$140,000",1619753.015
3,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,Current Penalty,$0,"$140,000",$0,$0,$0,"$140,000",1619753.015
4,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1619753.015
5,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,Initial Violations,,,,1,,1,1617010.015
6,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,Current Violations,,,,1,,1,1617010.015
7,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,Initial Penalty,$0,$0,$0,$0,$0,$0,1617010.015
8,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1617010.015
9,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1617010.015
