Unnamed: 0,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,Initial Violations,,2,,,,2,1619753.015
5,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-31,2022-12-31,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,Initial Violations,,,,1,,1,1617010.015
10,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,Initial Violations,,,2,,,2,1609906.015
15,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-31,2022-12-31,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,Initial Violations,1,,,,,1,1607451.015
20,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Violations,,,2,,,2,1601808.015
60,1599864.015,06/03/2022,215800,NY,Complaint,Partial,,452319,3,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1599864.015,215800,06/03/2022,"Dollar General Corporation
			   599 Kent StreetWindsor, NY 13865","599 Kent Street, Windsor, NY 13865",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/03/2022,,,1599864.015,,,,,,,,,Initial Violations,,,3,,,3,1599864.015
65,1599901.015,06/03/2022,418600,FL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1599901.015,418600,06/03/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   901 Cherry StreetPanama City Beach, FL 32401","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/03/2022,N,,1599901.015,,,,,,,,,Initial Violations,,1,2,,,3,1599901.015
105,1598544.015,05/24/2022,418200,GA,Complaint,Partial,,452319,7,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1598544.015,418200,05/24/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   209 E 10th StWest Point, GA 31833","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,05/24/2022,,,1598544.015,,,,,,,,,Initial Violations,3,,4,,,7,1598544.015
145,1597335.015,05/20/2022,452110,KY,Complaint,Partial,5399.0,452990,5,65004 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31,OPEN,1597335.015,452110,05/20/2022,"65004 - Dollar General Partners
			   10608 West Manslick RdValley Station, KY 40272","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,5399.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,09/16/2022,,,1597335.015,,,,,,,,,Initial Violations,1,1,3,,,5,1597335.015
150,1596914.015,05/19/2022,418300,AL,Complaint,Partial,,452319,5,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1596914.015,418300,05/19/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   6680 Deerfoot ParkwayClay, AL 35048",100 Mission Ridge Attn,NonUnion,,452319,Complaint,Partial,N,Private,Safety,05/19/2022,N,,1596914.015,,,,,,,,,Initial Violations,,3,2,,,5,1596914.015
190,1597065.015,05/19/2022,418600,AL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1597065.015,418600,05/19/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1060 W Main St Ste 4Dothan, AL 36303","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,05/19/2022,,,1597065.015,,,,,,,,,Initial Violations,,,3,,,3,1597065.015
230,1596336.015,05/17/2022,452110,KY,Complaint,Partial,5399.0,452990,1,64994 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31,OPEN,1596336.015,452110,05/17/2022,"64994 - Dollar General Partners
			   5775 U.S. 27 Suite 9Science Hill, KY 42553","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,5399.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,,1596336.015,,,,,,,,,Initial Violations,,,,1,,1,1596336.015
235,1593249.015,04/29/2022,418300,AL,Complaint,Partial,,452319,7,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1593249.015,418300,04/29/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   2336 State Highway 20Town Creek, AL 35672","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,10/26/2022,N,,1593249.015,,,,,,,,,Initial Violations,1,4,2,,,7,1593249.015
275,1592570.015,04/28/2022,418300,AL,Complaint,Partial,,452319,4,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1592570.015,418300,04/28/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   120 Council DriveOdenville, AL 35120","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,04/28/2022,N,,1592570.015,,,,,,,,,Initial Violations,,3,1,,,4,1592570.015
315,1592900.015,04/27/2022,728500,MO,Complaint,Partial,,453998,4,Dollar General,Dollar General,2012-12-31,2022-12-31,OPEN,1592900.015,728500,04/27/2022,"Dollar General
			   615 N Business 60Mansfield, MO 65704","615 N Business 60, Mansfield, MO 65704",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Safety,04/27/2022,,,1592900.015,,,,,,,,,Initial Violations,3,,,1,,4,1592900.015
320,1592340.015,04/27/2022,636900,TX,Complaint,Partial,,452319,1,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1592340.015,636900,04/27/2022,"Dollar General
			   5960 Lillian RoadBurleson, TX 76028","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,04/27/2022,,07/08/2022,1592340.015,,,,,,,,,Initial Violations,,,,1,,1,1592340.015
325,1590827.015,04/19/2022,418100,GA,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1590827.015,418100,04/19/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   101 Coldwater Creek RdDewy Rose, GA 30634","101 Coldwater Creek Rd, Dewy Rose, GA 30634",NonUnion,,452319,Complaint,Partial,N,Private,Safety,05/06/2022,,,1590827.015,,,,,,,,,Initial Violations,,,3,,,3,1590827.015
365,1590571.015,04/19/2022,418600,AL,Complaint,Complete,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1590571.015,418600,04/19/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   Dollar General #717 270 Jackson StreetGrove Hill, AL 36451","100 Mission Ridge Road, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Complete,N,Private,Safety,05/23/2022,,,1590571.015,,,,,,,,,Initial Violations,,1,2,,,3,1590571.015
405,1590051.015,04/14/2022,452110,KY,Complaint,Partial,5399.0,452990,1,64884 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1590051.015,452110,04/14/2022,"64884 - Dollar General Corporation
			   4207 Medallion CourtOkolona, KY 40219","4207 Medallion Court, Louisville, KY 40201",NonUnion,5399.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,05/16/2022,,,1590051.015,,,,,,,,,Initial Violations,,,,1,,1,1590051.015
410,1589448.015,04/12/2022,418600,AL,Complaint,Complete,,452210,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1589448.015,418600,04/12/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   5768 Three Notch RoadMobile, AL 36619","100 Mission Ridge Rd, Goodlettsville, TN 37072",NonUnion,,452210,Complaint,Complete,N,Private,Safety,04/12/2022,,,1589448.015,,,,,,,,,Initial Violations,,3,,,,3,1589448.015
450,1588719.015,04/08/2022,420600,FL,Complaint,Partial,,453220,5,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-31,2022-12-31,OPEN,1588719.015,420600,04/08/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   3502 East Hillsborough AvenueTampa, FL 33610","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,"453220/ Gift, Novelty, and Souvenir Stores",Complaint,Partial,N,Private,Safety,10/04/2022,,,1588719.015,,,,,,,,,Initial Violations,,,5,,,5,1588719.015
490,1586442.015,03/29/2022,418200,GA,Complaint,Partial,,445120,4,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1586442.015,418200,03/29/2022,"Dollar General Corporation
			   3201 South Cobb Drive SoutheastSmyrna, GA 30080","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,445120/Convenience Stores,Complaint,Partial,N,Private,Safety,03/29/2022,,,1586442.015,,,,,,,,,Initial Violations,,,4,,,4,1586442.015
495,1585314.015,03/23/2022,454712,TN,Planned,Complete,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1585314.015,454712,03/23/2022,"Dollar General Corporation
			   268 Beasley DriveDickson, TN 37055","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Planned,Complete,N,Private,Safety,04/05/2022,P,08/03/2022,1585314.015,,,,,,,,,Initial Violations,,,1,1,,2,1585314.015
500,1585315.015,03/23/2022,418200,GA,Complaint,Partial,,445120,5,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1585315.015,418200,03/23/2022,"Dollar General Corporation
			   103 South Highway 29Hogansville, GA 30230","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,445120/Convenience Stores,Complaint,Partial,N,Private,Safety,03/23/2022,,,1585315.015,,,,,,,,,Initial Violations,,4,1,,,5,1585315.015
505,1582871.015,03/11/2022,454722,TN,Complaint,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1582871.015,454722,03/11/2022,"Dollar General Corporation
			   3288 South Mount Juliet RoadHermitage, TN 37076","3288 South Mount Juliet Road, Hermitage, TN 37076",NonUnion,,452319,Complaint,Partial,N,Private,Health,03/11/2022,,05/25/2022,1582871.015,,,,,,,,,Initial Violations,,,,1,,1,1582871.015
510,1580600.015,02/28/2022,452110,KY,Complaint,Partial,5399.0,452990,1,64728 - Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,CLOSED,1580600.015,452110,02/28/2022,"64728 - Dollar General Corporation
			   55 Greystone DriveNicholasville, KY 40356","100 Donerail Drive, Nicholasville, KY 40356",NonUnion,5399.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,04/05/2022,,07/14/2022,1580600.015,,,,,,,,,Initial Violations,,,,1,,1,1580600.015
515,1578203.015,02/14/2022,418400,GA,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1578203.015,418400,02/14/2022,"Dollar General Corporation
			   535 W Bacon StPembroke, GA 31321","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,02/15/2022,N,,1578203.015,,,,,,,,,Initial Violations,,,2,,,2,1578203.015
520,1575910.015,02/02/2022,522500,OH,Complaint,Partial,,493110,1,Dollar General Distribution Center,Dollar General,2012-12-31,2022-12-31,CLOSED,1575910.015,522500,02/02/2022,"Dollar General Distribution Center
			   2505 East Pointe DriveZanesville, OH 43701","2505 East Pointe Drive, Zanesville, OH 43701",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,02/02/2022,P,07/06/2022,1575910.015,,,,,,,,,Initial Violations,2,,,,,2,1575910.015
525,1571838.015,01/11/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General Store 6274,Dollar General,2012-12-31,2022-12-31,CLOSED,1571838.015,552652,01/11/2022,"Dollar General Store 6274
			   614 N Main StOlivet, MI 49076","614 N Main St, Olivet, MI 49076",NonUnion,,452319,Complaint,Partial,N,Private,Safety,01/13/2022,,02/11/2022,1571838.015,,,,,,,,,Initial Violations,,,,1,,1,1571838.015
530,1572077.015,01/11/2022,729700,KS,Complaint,Partial,,445110,1,Dollar General,Dollar General,2012-12-31,2022-12-31,CLOSED,1572077.015,729700,01/11/2022,"Dollar General
			   2134 E. Washington StFredonia, KS 66736",100 Mission Ridge Attn,NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,01/11/2022,,08/18/2022,1572077.015,,,,,,,,,Initial Violations,,,1,,,1,1572077.015
535,1570337.015,12/28/2021,316700,PA,Complaint,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1570337.015,316700,12/28/2021,"Dollar General Corporation
			   514 North Antrim WayGreencastle, PA 17225","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,12/28/2021,,,1570337.015,,,,,,,,,Initial Violations,,,1,,,1,1570337.015
540,1568259.015,12/16/2021,627100,AR,Fat/Cat,Partial,,452319,1,Dollar General Corporation,Dollar General,2012-12-31,2022-12-31,OPEN,1568259.015,627100,12/16/2021,"Dollar General Corporation
			   599 S Main StLeachville, AR 72438","100 Mission Rdg, Goodlettsville, TN 37072",NonUnion,,452319,Fat/Cat,Partial,N,Private,Safety,12/16/2021,,,1568259.015,,,,,,,,,Initial Violations,,,,1,,1,1568259.015
545,1567718.015,12/08/2021,452110,KY,Complaint,Partial,5999.0,453998,4,64508 - Dollar General Partners,Dollar General,2012-12-31,2022-12-31,CLOSED,1567718.015,452110,12/08/2021,"64508 - Dollar General Partners
			   13725 Dixie HwyValley Station, KY 40272","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,5999.0,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Safety,03/31/2022,,08/19/2022,1567718.015,,,,,,,,,Initial Violations,2,,1,1,,4,1567718.015
