Type,Activity Nr,Safety,Health,activity_code
Complaint,1959820,Yes,,1630373.015
Complaint,1937532,,Yes,1618004.015
Complaint,1936013,Yes,,1616331.015
Complaint,1929788,Yes,Yes,1618010.015
Referral,1927659,Yes,,1612868.015
Complaint,1924815,Yes,,1611611.015
Complaint,1924143,Yes,,1610668.015
Complaint,1920432,,Yes,1609488.015
Complaint,1894436,Yes,,1608368.015
Complaint,1918534,Yes,Yes,1608303.015
Complaint,1917674,Yes,,1607656.015
Complaint,1914632,,Yes,1606852.015
Complaint,1914408,Yes,,1605793.015
Complaint,1908551,Yes,,1604260.015
Complaint,1907812,Yes,,1603155.015
Complaint,1901911,Yes,,1600591.015
Complaint,1901263,Yes,,1600299.015
Complaint,1900462,Yes,,1599843.015
Complaint,1897361,Yes,,1600383.015
Complaint,1899253,Yes,,1600021.015
Complaint,1903901,,Yes,1598846.015
Referral,1901433,Yes,,1607064.015
Inspection,1599813,Yes,,1607064.015
Referral,1896837,Yes,,1597674.015
Inspection,1503555,Yes,,1597434.015
Complaint,1893458,Yes,,1596085.015
Complaint,1893459,Yes,,1595473.015
Complaint,1892480,Yes,,1601577.015
Complaint,1887171,Yes,,1592254.015
Inspection,1452650,Yes,,1592958.015
Complaint,1883662,Yes,,1589562.015
Complaint,1883782,Yes,,1590282.015
Complaint,1881086,Yes,,1587972.015
Inspection,1529043,Yes,,1586794.015
Complaint,1821228,Yes,,1595108.015
Accident,1821381,,,1580815.015
Complaint,1867385,Yes,,1579408.015
Complaint,1862333,Yes,,1577434.015
Complaint,1883561,Yes,Yes,1577434.015
Complaint,1859919,Yes,,1575351.015
Referral,1855741,,Yes,1574059.015
Complaint,1848552,Yes,,1571248.015
Complaint,1845226,,Yes,1569923.015
Complaint,1845925,Yes,,1569923.015
Complaint,1838938,,Yes,1568293.015
Referral,1837431,Yes,,1566768.015
Complaint,1837317,,Yes,1566892.015
Complaint,1835572,Yes,,1567732.015
Complaint,1833809,Yes,,1563774.015
Complaint,1830642,Yes,,1562499.015
Complaint,1821000,Yes,,1558709.015
Complaint,1814589,Yes,,1554234.015
Complaint,1792058,,Yes,1553912.015
Referral,1802631,Yes,,1549799.015
Inspection,1550084,Yes,,1549799.015
Referral,1801210,Yes,,1549652.015
Complaint,1796217,Yes,,1557108.015
Referral,1793186,Yes,,1547315.015
Complaint,1764425,Yes,,1546323.015
Complaint,1792247,Yes,,1546030.015
Complaint,1786306,,Yes,1542587.015
Inspection,1526058,Yes,,1542587.015
Complaint,1783747,,Yes,1540132.015
Complaint,1780928,Yes,Yes,1540075.015
Complaint,1780928,Yes,Yes,1539820.015
Referral,1711076,Yes,,1537367.015
Complaint,1779144,Yes,,1537421.015
Inspection,1537418,Yes,,1537421.015
Complaint,1775271,Yes,Yes,1535320.015
Complaint,1768248,Yes,,1532022.015
Complaint,1767439,,Yes,1532505.015
Inspection,1533083,,Yes,1532505.015
Complaint,1765241,Yes,,1530606.015
Complaint,1762904,Yes,,1529043.015
Complaint,1757581,Yes,,1526058.015
Complaint,1735070,,Yes,1517161.015
Complaint,1735265,,Yes,1516137.015
Complaint,1721257,Yes,,1510493.015
Complaint,1698165,Yes,,1505554.015
Complaint,1687810,Yes,,1503555.015
Complaint,1682483,Yes,,1501569.015
Complaint,1678878,Yes,,1500406.015
Complaint,1674834,Yes,,1500040.015
Referral,1662108,Yes,,1493953.015
Complaint,1643347,,Yes,1493680.015
Complaint,1660747,Yes,,1493669.015
Complaint,1642639,Yes,,1489900.015
Complaint,1626085,Yes,,1484134.015
Complaint,1624372,Yes,,1484189.015
Complaint,1602191,,Yes,1479001.015
Complaint,1596571,Yes,Yes,1476681.015
Complaint,1590305,,Yes,1476491.015
Complaint,1585957,Yes,,1475358.015
Complaint,1575285,Yes,,1473721.015
Complaint,1551658,Yes,,1470036.015
Complaint,1548958,Yes,,1467899.015
Complaint,1545613,Yes,Yes,1464979.015
Complaint,1545155,Yes,,1464924.015
Complaint,1542410,Yes,,1464344.015
Complaint,1544304,Yes,,1463783.015
Complaint,1538862,Yes,,1460827.015
Complaint,1535428,Yes,,1467491.015
Complaint,1534613,Yes,,1457133.015
Complaint,1514533,Yes,,1454448.015
Complaint,1530033,Yes,,1454236.015
Complaint,1529402,Yes,,1453267.015
Complaint,1527542,Yes,,1453278.015
Complaint,1512538,Yes,,1453164.015
Complaint,1525224,,Yes,1452137.015
Complaint,1526106,Yes,,1452650.015
Complaint,1525924,Yes,,1451149.015
Complaint,1523657,Yes,,1452332.015
Complaint,1522153,,Yes,1459848.015
Complaint,1522942,Yes,,1448712.015
Complaint,1521426,Yes,,1464549.015
Referral,1522982,Yes,,1448428.015
Referral,1521398,Yes,,1447228.015
Complaint,1520797,Yes,,1447417.015
Complaint,1518045,Yes,,1446800.015
Complaint,1519284,Yes,,1446051.015
Referral,1517750,Yes,,1445218.015
Complaint,1516369,Yes,,1443653.015
Complaint,1514786,Yes,Yes,1443300.015
Complaint,1515273,Yes,,1443323.015
Complaint,1514190,Yes,,1442744.015
Complaint,1513275,Yes,,1441668.015
Complaint,1448078,Yes,,1439178.015
Complaint,1512110,Yes,,1440331.015
Complaint,1508895,Yes,,1438186.015
Complaint,1506774,Yes,,1438745.015
Complaint,1505952,Yes,,1436770.015
Complaint,1501846,Yes,,1434100.015
Complaint,1500996,Yes,,1432991.015
Complaint,1501372,Yes,,1434769.015
Complaint,1499258,Yes,,1433182.015
Complaint,1498329,Yes,,1432347.015
Complaint,1500123,Yes,,1432609.015
Accident,1495495,,,1429028.015
Inspection,1429027,,Yes,1429028.015
Complaint,1484718,Yes,,1431460.015
Complaint,1493259,Yes,,1428448.015
Complaint,1494548,Yes,,1427959.015
Complaint,1492483,Yes,,1426493.015
Complaint,1491088,,Yes,1430005.015
Complaint,1491090,,Yes,1430005.015
Complaint,1491091,,Yes,1430005.015
Inspection,1451331,,Yes,1430005.015
Complaint,1488518,Yes,,1425738.015
Complaint,1481076,Yes,,1419168.015
Complaint,1480973,,Yes,1419463.015
Complaint,1482483,Yes,,1419355.015
Complaint,1475080,Yes,,1414649.015
Complaint,1473352,,Yes,1415268.015
Complaint,1466979,Yes,,1411428.015
Complaint,1466255,,Yes,1408776.015
Complaint,1462078,Yes,,1406066.015
Referral,1461217,Yes,,1405495.015
Complaint,1438946,Yes,,1402986.015
Complaint,1452502,Yes,,1399905.015
Complaint,1451474,,Yes,1414139.015
Inspection,1455460,,Yes,1414139.015
Referral,1452268,Yes,,1398424.015
Complaint,1450140,Yes,,1398141.015
Referral,1449895,Yes,,1396954.015
Complaint,1449815,Yes,Yes,1397146.015
Complaint,1448314,Yes,,1396112.015
Complaint,1413717,Yes,Yes,1395047.015
Complaint,1443818,Yes,,1393119.015
Complaint,1442942,Yes,,1392698.015
Complaint,1442727,Yes,,1392581.015
Complaint,1442732,Yes,,1391852.015
Referral,1441113,Yes,Yes,1392229.015
Complaint,1442710,Yes,,1391524.015
Complaint,1441866,Yes,,1391372.015
Complaint,1439823,Yes,,1389876.015
Complaint,1440881,Yes,,1389326.015
Complaint,1441707,Yes,,1389880.015
Complaint,1435385,Yes,,1386120.015
Inspection,1228654,Yes,,1362039.015
Inspection,1276008,Yes,,1362039.015
Accident,1425883,,,1379729.015
Referral,1409633,Yes,,1378126.015
Complaint,1416094,,Yes,1374186.015
Complaint,1407462,Yes,,1365813.015
Complaint,1403876,Yes,,1366312.015
Complaint,1405503,Yes,,1364477.015
Complaint,1404973,Yes,,1363963.015
Complaint,1403428,Yes,,1364308.015
Complaint,1404692,Yes,,1365021.015
Complaint,1403602,Yes,,1366266.015
Complaint,1403462,Yes,,1361948.015
Complaint,1400275,Yes,,1361935.015
Referral,1399332,Yes,,1359722.015
Complaint,1396047,Yes,,1358113.015
Inspection,1327441,Yes,,1357645.015
Complaint,1396513,Yes,,1358146.015
Complaint,1396692,Yes,,1357511.015
Complaint,1394605,,Yes,1356600.015
Complaint,1388123,Yes,,1353484.015
Complaint,1389060,Yes,,1353524.015
Inspection,1365624,Yes,,1353524.015
Complaint,1348162,Yes,,1351299.015
Complaint,1387819,Yes,,1350688.015
Complaint,1331840,Yes,,1350112.015
Complaint,1382026,Yes,,1346746.015
Referral,1376604,Yes,,1342814.015
Complaint,1367782,Yes,,1336248.015
Complaint,1364546,Yes,,1334723.015
Complaint,1359649,,Yes,1330484.015
Complaint,1342066,Yes,,1330070.015
Complaint,1355916,Yes,Yes,1330308.015
Complaint,1352507,Yes,,1327441.015
Inspection,1302911,Yes,,1326715.015
Complaint,1351726,,Yes,1325188.015
Complaint,1324767,Yes,,1320150.015
Complaint,1336649,Yes,Yes,1316256.015
Accident,1331708,,,1312511.015
Complaint,1330224,Yes,,1312511.015
Inspection,1312823,Yes,,1312511.015
Inspection,1274291,Yes,,1309701.015
Complaint,1323457,Yes,Yes,1308029.015
Inspection,1198798,Yes,,1309164.015
Complaint,1324409,Yes,,1321716.015
Complaint,1317874,Yes,,1302979.015
Inspection,1279252,Yes,,1302911.015
Complaint,1316554,Yes,,1302291.015
Complaint,1314073,Yes,,1299845.015
Complaint,1311805,Yes,,1298402.015
Complaint,1305178,Yes,,1293937.015
Referral,1306818,,Yes,1293367.015
Complaint,1286097,Yes,,1292106.015
Complaint,1357334,Yes,,1290825.015
Complaint,1296208,,Yes,1286103.015
Complaint,1296231,Yes,,1285915.015
Complaint,1292884,,Yes,1283142.015
Complaint,1289187,Yes,,1281516.015
Complaint,1278150,,Yes,1281812.015
Complaint,1287753,Yes,,1280766.015
Complaint,1286476,Yes,,1279252.015
Complaint,1285540,Yes,,1278349.015
Complaint,1282574,Yes,,1276008.015
Complaint,1273317,Yes,,1277612.015
Complaint,1282269,Yes,,1277612.015
Referral,1281804,Yes,,1276469.015
Referral,1278512,Yes,,1274974.015
Complaint,1275891,Yes,,1272028.015
Complaint,1272971,Yes,,1271229.015
Referral,1266694,Yes,,1270803.015
Complaint,1271163,Yes,,1269761.015
Complaint,1268837,Yes,,1268688.015
Complaint,1268678,Yes,,1268180.015
Complaint,1266628,Yes,,1266190.015
Complaint,1253485,Yes,Yes,1261916.015
Complaint,1258936,Yes,,1262725.015
Complaint,1257140,Yes,,1259381.015
Complaint,1253020,,Yes,1260384.015
Complaint,1252476,,Yes,1260384.015
