,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Note,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1630373.015,10/25/2022,352450,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1630373.015,352450,10/25/2022,"Dollar Tree Stores, Inc.
			   8157 Governor Ritchie HighwayPasadena, MD 21122","500 Volvo Parkway Attention Larisa Rapnick, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,11/07/2022,,12/30/2022,1630373.015,,,,,,,,,,Initial Violations,1,,,2,,3,1630373.015
1,1630373.015,10/25/2022,352450,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1630373.015,352450,10/25/2022,"Dollar Tree Stores, Inc.
			   8157 Governor Ritchie HighwayPasadena, MD 21122","500 Volvo Parkway Attention Larisa Rapnick, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,11/07/2022,,12/30/2022,1630373.015,,,,,,,,,,Current Violations,1,,,2,,3,1630373.015
2,1630373.015,10/25/2022,352450,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1630373.015,352450,10/25/2022,"Dollar Tree Stores, Inc.
			   8157 Governor Ritchie HighwayPasadena, MD 21122","500 Volvo Parkway Attention Larisa Rapnick, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,11/07/2022,,12/30/2022,1630373.015,,,,,,,,,,Initial Penalty,"$3,400",$0,$0,$0,$0,"$3,400",1630373.015
3,1630373.015,10/25/2022,352450,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1630373.015,352450,10/25/2022,"Dollar Tree Stores, Inc.
			   8157 Governor Ritchie HighwayPasadena, MD 21122","500 Volvo Parkway Attention Larisa Rapnick, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,11/07/2022,,12/30/2022,1630373.015,,,,,,,,,,Current Penalty,"$3,400",$0,$0,$0,$0,"$3,400",1630373.015
4,1630373.015,10/25/2022,352450,MD,Complaint,Partial,,452319,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-31,2022-12-31,CLOSED,1630373.015,352450,10/25/2022,"Dollar Tree Stores, Inc.
			   8157 Governor Ritchie HighwayPasadena, MD 21122","500 Volvo Parkway Attention Larisa Rapnick, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,11/07/2022,,12/30/2022,1630373.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1630373.015
5,1618004.015,08/30/2022,317700,PA,Complaint,Partial,,452319,2,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,OPEN,1618004.015,317700,08/30/2022,"Dollar Tree
			   89 Brooklyn StreetCarbondale, PA 18407","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,,,,1618004.015,,,,,,,,,,Initial Violations,,,,2,,2,1618004.015
6,1618004.015,08/30/2022,317700,PA,Complaint,Partial,,452319,2,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,OPEN,1618004.015,317700,08/30/2022,"Dollar Tree
			   89 Brooklyn StreetCarbondale, PA 18407","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,,,,1618004.015,,,,,,,,,,Current Violations,,,,2,,2,1618004.015
7,1618004.015,08/30/2022,317700,PA,Complaint,Partial,,452319,2,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,OPEN,1618004.015,317700,08/30/2022,"Dollar Tree
			   89 Brooklyn StreetCarbondale, PA 18407","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,,,,1618004.015,,,,,,,,,,Initial Penalty,$0,$0,$0,$0,$0,$0,1618004.015
8,1618004.015,08/30/2022,317700,PA,Complaint,Partial,,452319,2,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,OPEN,1618004.015,317700,08/30/2022,"Dollar Tree
			   89 Brooklyn StreetCarbondale, PA 18407","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,,,,1618004.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1618004.015
9,1618004.015,08/30/2022,317700,PA,Complaint,Partial,,452319,2,Dollar Tree,Dollar Tree,2012-12-31,2022-12-31,OPEN,1618004.015,317700,08/30/2022,"Dollar Tree
			   89 Brooklyn StreetCarbondale, PA 18407","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,,,,1618004.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1618004.015
