Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code
Initial Violations,,2,,,,2,1619753.015
Current Violations,,2,,,,2,1619753.015
Initial Penalty,$0,"$140,000",$0,$0,$0,"$140,000",1619753.015
Current Penalty,$0,"$140,000",$0,$0,$0,"$140,000",1619753.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1619753.015
Initial Violations,,,,1,,1,1617010.015
Current Violations,,,,1,,1,1617010.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1617010.015
Current Penalty,$0,$0,$0,$0,$0,$0,1617010.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1617010.015
Initial Violations,,,2,,,2,1609906.015
Current Violations,,,2,,,2,1609906.015
Initial Penalty,$0,$0,"$7,500",$0,$0,"$7,500",1609906.015
Current Penalty,$0,$0,"$6,750",$0,$0,"$6,750",1609906.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1609906.015
Initial Violations,1,,,,,1,1607451.015
Current Violations,,,,1,,1,1607451.015
Initial Penalty,"$5,283",$0,$0,$0,$0,"$5,283",1607451.015
Current Penalty,$0,$0,$0,"$5,283",$0,"$5,283",1607451.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1607451.015
Initial Violations,,,2,,,2,1601808.015
Current Violations,,,2,,,2,1601808.015
Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
Current Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1601808.015
Initial Violations,,1,2,,,3,1599901.015
Current Violations,,1,2,,,3,1599901.015
Initial Penalty,$0,"$145,027","$102,553",$0,$0,"$247,580",1599901.015
Current Penalty,$0,"$145,027","$102,553",$0,$0,"$247,580",1599901.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1599901.015
Initial Violations,,,3,,,3,1599864.015
Current Violations,,,3,,,3,1599864.015
Initial Penalty,$0,$0,"$138,295",$0,$0,"$138,295",1599864.015
Current Penalty,$0,$0,"$138,295",$0,$0,"$138,295",1599864.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1599864.015
Initial Violations,3,,4,,,7,1598544.015
Current Violations,3,,4,,,7,1598544.015
Initial Penalty,"$27,348",$0,"$364,628",$0,$0,"$391,976",1598544.015
Current Penalty,"$27,348",$0,"$364,628",$0,$0,"$391,976",1598544.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1598544.015
Initial Violations,1,1,3,,,5,1597335.015
Current Violations,1,1,3,,,5,1597335.015
Initial Penalty,"$7,000","$70,000","$71,500",$0,$0,"$148,500",1597335.015
Current Penalty,"$7,000","$70,000","$71,500",$0,$0,"$148,500",1597335.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1597335.015
Initial Violations,,3,2,,,5,1596914.015
Current Violations,,3,2,,,5,1596914.015
Initial Penalty,$0,"$410,208","$13,673",$0,$0,"$423,881",1596914.015
Current Penalty,$0,"$410,208","$13,673",$0,$0,"$423,881",1596914.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1596914.015
Initial Violations,,,3,,,3,1597065.015
Current Violations,,,3,,,3,1597065.015
Initial Penalty,$0,$0,"$418,509",$0,$0,"$418,509",1597065.015
Current Penalty,$0,$0,"$418,509",$0,$0,"$418,509",1597065.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1597065.015
Initial Violations,,,,1,,1,1596336.015
Current Violations,,,,1,,1,1596336.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1596336.015
Current Penalty,$0,$0,$0,$0,$0,$0,1596336.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1596336.015
Initial Violations,1,4,2,,,7,1593249.015
Current Violations,1,4,2,,,7,1593249.015
Initial Penalty,"$6,837","$555,235","$13,673",$0,$0,"$575,745",1593249.015
Current Penalty,"$6,837","$555,235","$13,673",$0,$0,"$575,745",1593249.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1593249.015
Initial Violations,,3,1,,,4,1592570.015
Current Violations,,3,1,,,4,1592570.015
Initial Penalty,$0,"$418,499","$11,396",$0,$0,"$429,895",1592570.015
Current Penalty,$0,"$418,499","$11,396",$0,$0,"$429,895",1592570.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1592570.015
Initial Violations,3,,,1,,4,1592900.015
Current Violations,3,,,1,,4,1592900.015
Initial Penalty,"$31,080",$0,$0,"$2,072",$0,"$33,152",1592900.015
Current Penalty,"$31,080",$0,$0,"$2,072",$0,"$33,152",1592900.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1592900.015
Initial Violations,,,,1,,1,1592340.015
Current Violations,,,,1,,1,1592340.015
Initial Penalty,$0,$0,$0,"$1,279",$0,"$1,279",1592340.015
Current Penalty,$0,$0,$0,"$1,279",$0,"$1,279",1592340.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1592340.015
Initial Violations,,1,2,,,3,1590571.015
Current Violations,,1,2,,,3,1590571.015
