Unnamed: 0,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1619753.015,09/06/2022,452110,KY,Complaint,Partial,4225.0,493110,2,65337 - Dollar General Corporation,Dollar General,2012-12-19,2022-12-19,OPEN,1619753.015,452110,09/06/2022,"65337 - Dollar General Corporation
			   950 Wenstrup LaneWalton, KY 41094","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,4225.0,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,09/16/2022,,,1619753.015,,,,,,,,,Initial Penalty,$0,"$140,000",$0,$0,$0,"$140,000",1619753.015
1,1617010.015,08/25/2022,552652,MI,Complaint,Partial,,452319,1,Dollar General #17771,Dollar General,2012-12-19,2022-12-19,CLOSED,1617010.015,552652,08/25/2022,"Dollar General #17771
			   10600 East RoadBurt, MI 48417","10600 East Road, Burt, MI 48417",NonUnion,,452319,Complaint,Partial,N,Private,Safety,09/14/2022,,10/17/2022,1617010.015,,,,,,,,,Initial Penalty,$0,$0,$0,$0,$0,$0,1617010.015
2,1609906.015,07/25/2022,454716,TN,Complaint,Partial,,452319,2,Dollar General Corporation,Dollar General,2012-12-19,2022-12-19,OPEN,1609906.015,454716,07/25/2022,"Dollar General Corporation
			   4809 North Roan StJohnson City, TN 37615","4809 North Roan St, Johnson City, TN 37615",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/25/2022,,,1609906.015,,,,,,,,,Initial Penalty,$0,$0,"$7,500",$0,$0,"$7,500",1609906.015
3,1607451.015,07/13/2022,418100,GA,Complaint,Partial,,445110,1,Dollar General Atlanta Fresh Distribution Center,Dollar General,2012-12-19,2022-12-19,OPEN,1607451.015,418100,07/13/2022,"Dollar General Atlanta Fresh Distribution Center
			   3569  International Park Drive, SeAtlanta, GA 30316","3569  International Park Drive, Se, Atlanta, GA 30316",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,LocalGovt,Safety,07/13/2022,L,,1607451.015,,,,,,,,,Initial Penalty,"$5,283",$0,$0,$0,$0,"$5,283",1607451.015
4,1601808.015,06/14/2022,418400,GA,Complaint,Partial,,452319,2,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-19,2022-12-19,OPEN,1601808.015,418400,06/14/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   1106 W. Jackson St.Thomasville, GA 31792","1106 W. Jackson St., Thomasville, GA 31792",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/14/2022,,,1601808.015,,,,,,,,,Initial Penalty,$0,$0,"$290,054",$0,$0,"$290,054",1601808.015
12,1599901.015,06/03/2022,418600,FL,Complaint,Partial,,452319,3,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-19,2022-12-19,OPEN,1599901.015,418600,06/03/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   901 Cherry StreetPanama City Beach, FL 32401","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/03/2022,N,,1599901.015,,,,,,,,,Initial Penalty,$0,"$145,027","$102,553",$0,$0,"$247,580",1599901.015
20,1599864.015,06/03/2022,215800,NY,Complaint,Partial,,452319,3,Dollar General Corporation,Dollar General,2012-12-19,2022-12-19,OPEN,1599864.015,215800,06/03/2022,"Dollar General Corporation
			   599 Kent StreetWindsor, NY 13865","599 Kent Street, Windsor, NY 13865",NonUnion,,452319,Complaint,Partial,N,Private,Safety,06/03/2022,,,1599864.015,,,,,,,,,Initial Penalty,$0,$0,"$138,295",$0,$0,"$138,295",1599864.015
21,1598544.015,05/24/2022,418200,GA,Complaint,Partial,,452319,7,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-19,2022-12-19,OPEN,1598544.015,418200,05/24/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   209 E 10th StWest Point, GA 31833","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,,452319,Complaint,Partial,N,Private,Safety,05/24/2022,,,1598544.015,,,,,,,,,Initial Penalty,"$27,348",$0,"$364,628",$0,$0,"$391,976",1598544.015
29,1597335.015,05/20/2022,452110,KY,Complaint,Partial,5399.0,452990,5,65004 - Dollar General Partners,Dollar General,2012-12-19,2022-12-19,OPEN,1597335.015,452110,05/20/2022,"65004 - Dollar General Partners
			   10608 West Manslick RdValley Station, KY 40272","100 Mission Ridge, Goodlettsville, TN 37072",NonUnion,5399.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,09/16/2022,,,1597335.015,,,,,,,,,Initial Penalty,"$7,000","$70,000","$71,500",$0,$0,"$148,500",1597335.015
30,1596914.015,05/19/2022,418300,AL,Complaint,Partial,,452319,5,"Dollar General Corporation/ Dolgencorp, Llc",Dollar General,2012-12-19,2022-12-19,OPEN,1596914.015,418300,05/19/2022,"Dollar General Corporation/ Dolgencorp, Llc
			   6680 Deerfoot ParkwayClay, AL 35048",100 Mission Ridge Attn,NonUnion,,452319,Complaint,Partial,N,Private,Safety,05/19/2022,N,,1596914.015,,,,,,,,,Initial Penalty,$0,"$410,208","$13,673",$0,$0,"$423,881",1596914.015
