#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
1.0,1001,Repeat,19100176 B,09/23/2022,09/27/2022,"$30,000","$30,000",$0,,Z - Issued,,1616331.015
2.0,1002,Repeat,19100176 C,09/23/2022,10/10/2022,"$6,000","$6,000",$0,,Z - Issued,,1616331.015
3.0,2001,Repeat,19100022 A01,09/23/2022,10/10/2022,"$3,000","$3,000",$0,,Z - Issued,,1616331.015
4.0,2002,Repeat,19100022 D01,09/23/2022,10/10/2022,"$3,000","$3,000",$0,,Z - Issued,,1616331.015
5.0,3001,Other,19100303 E01 II,09/23/2022,10/10/2022,$0,$0,$0,,Z - Issued,,1616331.015
6.0,3002,Other,19100305 B02 I,09/23/2022,10/10/2022,$0,$0,$0,,Z - Issued,,1616331.015
1.0,1001,Serious,19100141 A05,09/30/2022,10/27/2022,"$6,215","$6,215",$0,,Z - Issued,,1618010.015
1.0,1001,Serious,19100305 B02 I,09/06/2022,,"$2,245","$4,490",$0,,I - Informal Settlement,,1612868.015
1.0,1001,Repeat,OAR 437-002-0022(4)(A),10/25/2022,08/01/2022,"$6,000","$6,000",$0,,Z - Issued,,1611611.015
2.0,1002,Repeat,OAR 437-002-0041(5)(A),10/25/2022,08/01/2022,"$15,000","$15,000",$0,,Z - Issued,,1611611.015
3.0,1003,Repeat,OAR 437-002-0221(4)(A),10/25/2022,08/01/2022,"$6,000","$6,000",$0,,Z - Issued,,1611611.015
4.0,1004,Repeat,19100176 B,10/25/2022,08/01/2022,"$6,000","$6,000",$0,,Z - Issued,,1611611.015
5.0,2005,Other,OAR 437-001-0765(1),10/25/2022,08/01/2022,$0,$0,$0,,Z - Issued,,1611611.015
1.0,1001,Other,OAR 437-001-0765(1),08/26/2022,09/08/2022,$0,$0,$0,,Z - Issued,,1610668.015
1.0,1001,Repeat,19100305 G01 IV B,08/30/2022,,"$23,928","$34,183",$0,,I - Informal Settlement,,1609488.015
2.0,2001,Other,19040041 A02,08/30/2022,,"$2,279","$2,279",$0,,I - Informal Settlement,Citation has been deleted.,1609488.015
1.0,1001,Repeat,19100022 A01,10/21/2022,10/27/2022,"$22,792","$22,792",$0,,Z - Issued,,1608368.015
1.0,1001,Serious,19100037 A03,09/28/2022,10/06/2022,$875,$875,$0,,Z - Issued,,1608303.015
1.0,1001,Other,19040032 A03,10/04/2022,10/17/2022,"$2,072","$2,072",$0,,Z - Issued,,1607656.015
2.0,2001,Repeat,19040040 A,10/04/2022,10/17/2022,"$10,360","$10,360",$0,,Z - Issued,,1607656.015
1.0,1001,Other,19100176 B,08/22/2022,08/30/2022,$0,$0,$0,,Z - Issued,,1606852.015
2.0,1002,Other,19101200 F06 II,08/22/2022,08/30/2022,$0,$0,$0,,Z - Issued,,1606852.015
3.0,1003,Other,19101200 G08,08/22/2022,08/30/2022,$0,$0,$0,,Z - Issued,,1606852.015
4.0,1004,Other,19101200 H01,08/22/2022,09/23/2022,$0,$0,$0,,Z - Issued,,1606852.015
1.0,1001,Serious,19100176 B,08/05/2022,08/17/2022,"$5,751","$8,215",$0,,I - Informal Settlement,,1605793.015
2.0,2001,Other,19100157 C01,08/05/2022,08/17/2022,$0,$0,$0,,I - Informal Settlement,,1605793.015
3.0,2002,Other,19100304 F01 IV,08/05/2022,08/31/2022,$0,$0,$0,,I - Informal Settlement,,1605793.015
1.0,1001,Repeat,19100176 B,10/11/2022,11/04/2022,"$41,019","$68,365",$0,,I - Informal Settlement,,1604260.015
2.0,2001,Other,19100141 A03 I,10/11/2022,10/31/2022,$0,$0,$0,,I - Informal Settlement,,1604260.015
1.0,1001,Repeat,19100176 B,07/18/2022,07/29/2022,"$23,100","$30,000",$0,,I - Informal Settlement,,1603155.015
2.0,1002,Repeat,19100176 C,07/18/2022,07/29/2022,"$4,600","$6,000",$0,,I - Informal Settlement,,1603155.015
3.0,2001,Repeat,19100022 A01,07/18/2022,07/29/2022,"$2,300","$3,000",$0,,I - Informal Settlement,,1603155.015
4.0,2002,Repeat,19100022 D01,07/18/2022,07/29/2022,"$2,300","$3,000",$0,,I - Informal Settlement,,1603155.015
5.0,2003,Repeat,19100036 G02,07/18/2022,07/29/2022,$150,$200,$0,,I - Informal Settlement,,1603155.015
6.0,2004,Repeat,19100037 A03,07/18/2022,07/29/2022,$400,$500,$0,,I - Informal Settlement,,1603155.015
7.0,2005,Repeat,19100165 E,07/18/2022,07/29/2022,$150,$200,$0,,I - Informal Settlement,,1603155.015
