Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code
Initial Violations,,,4,2,,6,1616331.015
Current Violations,,,4,2,,6,1616331.015
Initial Penalty,$0,$0,"$42,000",$0,$0,"$42,000",1616331.015
Current Penalty,$0,$0,"$42,000",$0,$0,"$42,000",1616331.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1616331.015
Initial Violations,1,,,,,1,1618010.015
Current Violations,1,,,,,1,1618010.015
Initial Penalty,"$6,215",$0,$0,$0,$0,"$6,215",1618010.015
Current Penalty,"$6,215",$0,$0,$0,$0,"$6,215",1618010.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1618010.015
Initial Violations,1,,,,,1,1612868.015
Current Violations,1,,,,,1,1612868.015
Initial Penalty,"$4,490",$0,$0,$0,$0,"$4,490",1612868.015
Current Penalty,"$2,245",$0,$0,$0,$0,"$2,245",1612868.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1612868.015
Initial Violations,,,4,1,,5,1611611.015
Current Violations,,,4,1,,5,1611611.015
Initial Penalty,$0,$0,"$33,000",$0,$0,"$33,000",1611611.015
Current Penalty,$0,$0,"$33,000",$0,$0,"$33,000",1611611.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1611611.015
Initial Violations,,,,1,,1,1610668.015
Current Violations,,,,1,,1,1610668.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1610668.015
Current Penalty,$0,$0,$0,$0,$0,$0,1610668.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1610668.015
Initial Violations,,,1,1,,2,1609488.015
Current Violations,,,1,,,1,1609488.015
Initial Penalty,$0,$0,"$34,183","$2,279",$0,"$36,462",1609488.015
Current Penalty,$0,$0,"$23,928",$0,$0,"$23,928",1609488.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1609488.015
Initial Violations,,,1,,,1,1608368.015
Current Violations,,,1,,,1,1608368.015
Initial Penalty,$0,$0,"$22,792",$0,$0,"$22,792",1608368.015
Current Penalty,$0,$0,"$22,792",$0,$0,"$22,792",1608368.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1608368.015
Initial Violations,1,,,,,1,1608303.015
Current Violations,1,,,,,1,1608303.015
Initial Penalty,$875,$0,$0,$0,$0,$875,1608303.015
Current Penalty,$875,$0,$0,$0,$0,$875,1608303.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1608303.015
Initial Violations,,,1,1,,2,1607656.015
Current Violations,,,1,1,,2,1607656.015
Initial Penalty,$0,$0,"$10,360","$2,072",$0,"$12,432",1607656.015
Current Penalty,$0,$0,"$10,360","$2,072",$0,"$12,432",1607656.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1607656.015
Initial Violations,,,,4,,4,1606852.015
Current Violations,,,,4,,4,1606852.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1606852.015
Current Penalty,$0,$0,$0,$0,$0,$0,1606852.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1606852.015
Initial Violations,1,,,2,,3,1605793.015
Current Violations,1,,,2,,3,1605793.015
Initial Penalty,"$8,215",$0,$0,$0,$0,"$8,215",1605793.015
Current Penalty,"$5,751",$0,$0,$0,$0,"$5,751",1605793.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1605793.015
Initial Violations,,,1,1,,2,1604260.015
Current Violations,,,1,1,,2,1604260.015
Initial Penalty,$0,$0,"$68,365",$0,$0,"$68,365",1604260.015
Current Penalty,$0,$0,"$41,019",$0,$0,"$41,019",1604260.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1604260.015
Initial Violations,1,,7,,,8,1603155.015
Current Violations,1,,7,,,8,1603155.015
Initial Penalty,"$1,350",$0,"$42,900",$0,$0,"$44,250",1603155.015
Current Penalty,"$1,000",$0,"$33,000",$0,$0,"$34,000",1603155.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1603155.015
Initial Violations,,,3,,,3,1600591.015
Current Violations,,,3,,,3,1600591.015
Initial Penalty,$0,$0,"$364,661",$0,$0,"$364,661",1600591.015
Current Penalty,$0,$0,"$364,661",$0,$0,"$364,661",1600591.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1600591.015
Initial Violations,1,,1,1,,3,1600299.015
Current Violations,1,,1,1,,3,1600299.015
Initial Penalty,"$2,250",$0,"$25,000",$500,$0,"$27,750",1600299.015
Current Penalty,"$2,250",$0,"$25,000",$500,$0,"$27,750",1600299.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1600299.015
Initial Violations,5,,,,,5,1599843.015
Current Violations,5,,,,,5,1599843.015
Initial Penalty,"$3,300",$0,$0,$0,$0,"$3,300",1599843.015
Current Penalty,"$3,300",$0,$0,$0,$0,"$3,300",1599843.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1599843.015
Initial Violations,2,,,,,2,1600383.015
Current Violations,2,,,,,2,1600383.015
Initial Penalty,$600,$0,$0,$0,$0,$600,1600383.015
Current Penalty,$600,$0,$0,$0,$0,$600,1600383.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1600383.015
Initial Violations,1,,3,,,4,1600021.015
Current Violations,1,,3,,,4,1600021.015
Initial Penalty,"$4,500",$0,"$40,500",$0,$0,"$45,000",1600021.015
Current Penalty,"$4,000",$0,"$36,000",$0,$0,"$40,000",1600021.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1600021.015
Initial Violations,1,,,,,1,1598846.015
Current Violations,1,,,,,1,1598846.015
Initial Penalty,"$6,920",$0,$0,$0,$0,"$6,920",1598846.015
Current Penalty,"$4,844",$0,$0,$0,$0,"$4,844",1598846.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1598846.015
Initial Violations,1,,,,,1,1607064.015
Current Violations,1,,,,,1,1607064.015
Initial Penalty,"$2,486",$0,$0,$0,$0,"$2,486",1607064.015
Current Penalty,"$2,486",$0,$0,$0,$0,"$2,486",1607064.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1607064.015
Initial Violations,,,4,,,4,1597674.015
Current Violations,,,4,,,4,1597674.015
Initial Penalty,$0,$0,"$364,645",$0,$0,"$364,645",1597674.015
Current Penalty,$0,$0,"$364,645",$0,$0,"$364,645",1597674.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1597674.015
Initial Violations,,,2,,,2,1597434.015
Current Violations,,,2,,,2,1597434.015
Initial Penalty,$0,$0,"$50,000",$0,$0,"$50,000",1597434.015
Current Penalty,$0,$0,"$50,000",$0,$0,"$50,000",1597434.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1597434.015
Initial Violations,,,,2,,2,1596670.015
Current Violations,,,,2,,2,1596670.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1596670.015
Current Penalty,$0,$0,$0,$0,$0,$0,1596670.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1596670.015
Initial Violations,,1,1,1,,3,1596085.015
Current Violations,,1,1,1,,3,1596085.015
Initial Penalty,$0,"$20,720","$13,200",$0,$0,"$33,920",1596085.015
Current Penalty,$0,"$20,720","$13,200",$0,$0,"$33,920",1596085.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1596085.015
Initial Violations,,1,,1,,2,1595473.015
Current Violations,,1,,1,,2,1595473.015
Initial Penalty,$0,"$20,720",$0,$0,$0,"$20,720",1595473.015
Current Penalty,$0,"$20,720",$0,$0,$0,"$20,720",1595473.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1595473.015
Initial Violations,1,,,,,1,1601577.015
Current Violations,1,,,,,1,1601577.015
Initial Penalty,$750,$0,$0,$0,$0,$750,1601577.015
Current Penalty,$750,$0,$0,$0,$0,$750,1601577.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1601577.015
Initial Violations,,,1,1,,2,1592254.015
Current Violations,,,1,1,,2,1592254.015
