,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1633901.015,11/03/2022,854910,UT,Accident,Partial,,311812,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1633901.015,854910,11/03/2022,"The Kroger Co.
			   500 N Sugar St. #5Layton, UT 84041","500 N Sugar St. #5, Layton, UT 84041",NonUnion,,311812/Commercial Bakeries,Accident,Partial,N,Private,Safety,12/01/2022,N,12/20/2022,1633901.015,,,,,,,,,,Initial Violations,1,,,,,1,1633901.015
1,1633901.015,11/03/2022,854910,UT,Accident,Partial,,311812,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1633901.015,854910,11/03/2022,"The Kroger Co.
			   500 N Sugar St. #5Layton, UT 84041","500 N Sugar St. #5, Layton, UT 84041",NonUnion,,311812/Commercial Bakeries,Accident,Partial,N,Private,Safety,12/01/2022,N,12/20/2022,1633901.015,,,,,,,,,,Current Violations,1,,,,,1,1633901.015
2,1633901.015,11/03/2022,854910,UT,Accident,Partial,,311812,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1633901.015,854910,11/03/2022,"The Kroger Co.
			   500 N Sugar St. #5Layton, UT 84041","500 N Sugar St. #5, Layton, UT 84041",NonUnion,,311812/Commercial Bakeries,Accident,Partial,N,Private,Safety,12/01/2022,N,12/20/2022,1633901.015,,,,,,,,,,Initial Penalty,"$4,500",$0,$0,$0,$0,"$4,500",1633901.015
3,1633901.015,11/03/2022,854910,UT,Accident,Partial,,311812,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1633901.015,854910,11/03/2022,"The Kroger Co.
			   500 N Sugar St. #5Layton, UT 84041","500 N Sugar St. #5, Layton, UT 84041",NonUnion,,311812/Commercial Bakeries,Accident,Partial,N,Private,Safety,12/01/2022,N,12/20/2022,1633901.015,,,,,,,,,,Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1633901.015
4,1633901.015,11/03/2022,854910,UT,Accident,Partial,,311812,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1633901.015,854910,11/03/2022,"The Kroger Co.
			   500 N Sugar St. #5Layton, UT 84041","500 N Sugar St. #5, Layton, UT 84041",NonUnion,,311812/Commercial Bakeries,Accident,Partial,N,Private,Safety,12/01/2022,N,12/20/2022,1633901.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1633901.015
5,1621876.015,09/14/2022,626700,TX,Planned,Partial,,445110,1,Kroger Texas L.P.,Kroger,2012-12-31,2022-12-31,CLOSED,1621876.015,626700,09/14/2022,"Kroger Texas L.P.
			   16400 El Camino RealHouston, TX 77062","16400 El Camino Real, Houston, TX 77062",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Health,09/14/2022,P,11/29/2022,1621876.015,,,,,,,,,,Initial Violations,1,,,,,1,1621876.015
6,1621876.015,09/14/2022,626700,TX,Planned,Partial,,445110,1,Kroger Texas L.P.,Kroger,2012-12-31,2022-12-31,CLOSED,1621876.015,626700,09/14/2022,"Kroger Texas L.P.
			   16400 El Camino RealHouston, TX 77062","16400 El Camino Real, Houston, TX 77062",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Health,09/14/2022,P,11/29/2022,1621876.015,,,,,,,,,,Current Violations,,,,1,,1,1621876.015
7,1621876.015,09/14/2022,626700,TX,Planned,Partial,,445110,1,Kroger Texas L.P.,Kroger,2012-12-31,2022-12-31,CLOSED,1621876.015,626700,09/14/2022,"Kroger Texas L.P.
			   16400 El Camino RealHouston, TX 77062","16400 El Camino Real, Houston, TX 77062",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Health,09/14/2022,P,11/29/2022,1621876.015,,,,,,,,,,Initial Penalty,"$4,661",$0,$0,$0,$0,"$4,661",1621876.015
8,1621876.015,09/14/2022,626700,TX,Planned,Partial,,445110,1,Kroger Texas L.P.,Kroger,2012-12-31,2022-12-31,CLOSED,1621876.015,626700,09/14/2022,"Kroger Texas L.P.
			   16400 El Camino RealHouston, TX 77062","16400 El Camino Real, Houston, TX 77062",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Health,09/14/2022,P,11/29/2022,1621876.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$2,796",$0,"$2,796",1621876.015
9,1621876.015,09/14/2022,626700,TX,Planned,Partial,,445110,1,Kroger Texas L.P.,Kroger,2012-12-31,2022-12-31,CLOSED,1621876.015,626700,09/14/2022,"Kroger Texas L.P.
			   16400 El Camino RealHouston, TX 77062","16400 El Camino Real, Houston, TX 77062",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Partial,N,Private,Health,09/14/2022,P,11/29/2022,1621876.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1621876.015
10,1614916.015,08/16/2022,316400,WV,Referral,Partial,,445110,2,Kroger Limited Partnership 1,Kroger,2012-12-31,2022-12-31,CLOSED,1614916.015,316400,08/16/2022,"Kroger Limited Partnership 1
			   550  Delaware AveCharleston, WV 25302","500 Delaware Ave, Charleston, WV 25302",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,08/16/2022,N,10/05/2022,1614916.015,,,,,,,,,,Initial Violations,2,,,,,2,1614916.015
11,1614916.015,08/16/2022,316400,WV,Referral,Partial,,445110,2,Kroger Limited Partnership 1,Kroger,2012-12-31,2022-12-31,CLOSED,1614916.015,316400,08/16/2022,"Kroger Limited Partnership 1
			   550  Delaware AveCharleston, WV 25302","500 Delaware Ave, Charleston, WV 25302",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,08/16/2022,N,10/05/2022,1614916.015,,,,,,,,,,Current Violations,2,,,,,2,1614916.015
12,1614916.015,08/16/2022,316400,WV,Referral,Partial,,445110,2,Kroger Limited Partnership 1,Kroger,2012-12-31,2022-12-31,CLOSED,1614916.015,316400,08/16/2022,"Kroger Limited Partnership 1
			   550  Delaware AveCharleston, WV 25302","500 Delaware Ave, Charleston, WV 25302",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,08/16/2022,N,10/05/2022,1614916.015,,,,,,,,,,Initial Penalty,"$24,862",$0,$0,$0,$0,"$24,862",1614916.015
13,1614916.015,08/16/2022,316400,WV,Referral,Partial,,445110,2,Kroger Limited Partnership 1,Kroger,2012-12-31,2022-12-31,CLOSED,1614916.015,316400,08/16/2022,"Kroger Limited Partnership 1
			   550  Delaware AveCharleston, WV 25302","500 Delaware Ave, Charleston, WV 25302",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,08/16/2022,N,10/05/2022,1614916.015,,,,,,,,,,Current Penalty,"$24,862",$0,$0,$0,$0,"$24,862",1614916.015
14,1614916.015,08/16/2022,316400,WV,Referral,Partial,,445110,2,Kroger Limited Partnership 1,Kroger,2012-12-31,2022-12-31,CLOSED,1614916.015,316400,08/16/2022,"Kroger Limited Partnership 1
			   550  Delaware AveCharleston, WV 25302","500 Delaware Ave, Charleston, WV 25302",Union,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Referral,Partial,N,Private,Safety,08/16/2022,N,10/05/2022,1614916.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1614916.015
15,1613884.015,08/09/2022,830600,CO,Complaint,Partial,,424410,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1613884.015,830600,08/09/2022,"The Kroger Co.
			   6030 Stetson Hills BlvdColorado Springs, CO 80922","65 Tejon Street, Denver, CO 80223",Union,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,08/09/2022,,12/05/2022,1613884.015,,,,,,,,,,Initial Violations,,,1,,,1,1613884.015
16,1613884.015,08/09/2022,830600,CO,Complaint,Partial,,424410,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1613884.015,830600,08/09/2022,"The Kroger Co.
			   6030 Stetson Hills BlvdColorado Springs, CO 80922","65 Tejon Street, Denver, CO 80223",Union,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,08/09/2022,,12/05/2022,1613884.015,,,,,,,,,,Current Violations,,,1,,,1,1613884.015
17,1613884.015,08/09/2022,830600,CO,Complaint,Partial,,424410,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1613884.015,830600,08/09/2022,"The Kroger Co.
			   6030 Stetson Hills BlvdColorado Springs, CO 80922","65 Tejon Street, Denver, CO 80223",Union,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,08/09/2022,,12/05/2022,1613884.015,,,,,,,,,,Initial Penalty,$0,$0,$414,$0,$0,$414,1613884.015
18,1613884.015,08/09/2022,830600,CO,Complaint,Partial,,424410,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1613884.015,830600,08/09/2022,"The Kroger Co.
			   6030 Stetson Hills BlvdColorado Springs, CO 80922","65 Tejon Street, Denver, CO 80223",Union,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,08/09/2022,,12/05/2022,1613884.015,,,,,,,,,,Current Penalty,$0,$0,$414,$0,$0,$414,1613884.015
19,1613884.015,08/09/2022,830600,CO,Complaint,Partial,,424410,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1613884.015,830600,08/09/2022,"The Kroger Co.
			   6030 Stetson Hills BlvdColorado Springs, CO 80922","65 Tejon Street, Denver, CO 80223",Union,,424410/General Line Grocery Merchant Wholesalers,Complaint,Partial,N,Private,Safety,08/09/2022,,12/05/2022,1613884.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1613884.015
20,1590209.015,04/13/2022,854910,UT,Complaint,Partial,,493110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1590209.015,854910,04/13/2022,"The Kroger Co.
			   500 N Sugar StreetLayton, UT 84041","500 N Sugar Street, Layton, UT 84041",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,04/13/2022,,06/01/2022,1590209.015,,,,,,,,,,Initial Violations,1,,,,,1,1590209.015
21,1590209.015,04/13/2022,854910,UT,Complaint,Partial,,493110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1590209.015,854910,04/13/2022,"The Kroger Co.
			   500 N Sugar StreetLayton, UT 84041","500 N Sugar Street, Layton, UT 84041",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,04/13/2022,,06/01/2022,1590209.015,,,,,,,,,,Current Violations,1,,,,,1,1590209.015
22,1590209.015,04/13/2022,854910,UT,Complaint,Partial,,493110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1590209.015,854910,04/13/2022,"The Kroger Co.
			   500 N Sugar StreetLayton, UT 84041","500 N Sugar Street, Layton, UT 84041",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,04/13/2022,,06/01/2022,1590209.015,,,,,,,,,,Initial Penalty,"$4,500",$0,$0,$0,$0,"$4,500",1590209.015
23,1590209.015,04/13/2022,854910,UT,Complaint,Partial,,493110,1,The Kroger Co.,Kroger,2012-12-31,2022-12-31,CLOSED,1590209.015,854910,04/13/2022,"The Kroger Co.
			   500 N Sugar StreetLayton, UT 84041","500 N Sugar Street, Layton, UT 84041",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,04/13/2022,,06/01/2022,1590209.015,,,,,,,,,,Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1590209.015
