#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
1.0,1001,Other,19100022 A02,10/13/2022,,"$2,796","$4,661",$0,,I - Informal Settlement,,1621876.015
1.0,01001A,Serious,19100147 D04 I,08/29/2022,09/16/2022,"$10,360","$10,360",$0,,Z - Issued,,1614916.015
2.0,01001B,Serious,19100147 C06 I,08/29/2022,09/23/2022,$0,$0,$0,,Z - Issued,,1614916.015
3.0,01002,Serious,19100212 A01,08/29/2022,09/09/2022,"$14,502","$14,502",$0,,Z - Issued,,1614916.015
1.0,1001,Repeat,19100303 G01 II,10/20/2022,,$414,$414,$0,,Z - Issued,,1613884.015
1.0,1001,Serious,19100178 Q06,05/16/2022,06/01/2022,"$2,250","$4,500",$0,,I - Informal Settlement,,1590209.015
1.0,1001,Serious,19100178 L04 III,10/06/2022,10/10/2022,"$7,000","$7,000",$0,,Z - Issued,,1589516.015
1.0,1001,Serious,19100022 A02,08/18/2022,08/29/2022,"$6,381","$9,116",$0,,I - Informal Settlement,,1585255.015
2.0,1002,Serious,19100037 A03,08/18/2022,08/29/2022,"$6,381","$9,116",$0,,I - Informal Settlement,,1585255.015
1.0,1001,Other,19040032 A04,07/12/2022,,"$1,595","$2,279",$0,,I - Informal Settlement,,1578451.015
1.0,01001A,Serious,19100022 A02,04/18/2022,04/28/2022,"$11,623","$11,623",$0,,Z - Issued,,1577632.015
2.0,01001B,Serious,19100022 D01,04/18/2022,04/28/2022,$0,$0,$0,,Z - Issued,,1577632.015
3.0,01002,Serious,19100132 E,04/18/2022,,"$11,623","$11,623",$0,,Z - Issued,,1577632.015
1.0,1001,Other,19040039 A02,01/28/2022,02/28/2022,"$3,729","$6,215",$0,,I - Informal Settlement,,1574261.015
1.0,1001,Other,19100212 A03 II,04/15/2022,,"$8,701","$14,502",$0,,I - Informal Settlement,,1573131.015
1.0,1001,Other,19100134 D01 III,12/27/2021,01/24/2022,"$9,284","$11,605",$0,04/06/2022,F - Formal Settlement,,1563362.015
1.0,01001,Serious,19100178 A04,03/30/2022,04/18/2022,"$14,502","$14,502",$0,,I - Informal Settlement,,1562806.015
2.0,01002A,Serious,19100178 L01 II,03/30/2022,04/18/2022,"$14,502","$14,502",$0,,I - Informal Settlement,,1562806.015
3.0,01002B,Serious,19100178 O01,03/30/2022,04/18/2022,$0,"$14,502",$0,,I - Informal Settlement,,1562806.015
4.0,02001,Other,19100178 L04 III,03/30/2022,04/18/2022,$0,$0,$0,,I - Informal Settlement,,1562806.015
1.0,1001,Serious,19100028 B13 I,05/06/2022,05/10/2022,"$5,925","$6,583",$0,,I - Informal Settlement,,1562838.015
2.0,1002,Serious,19100212 A01,05/06/2022,,"$11,059","$12,288",$0,,I - Informal Settlement,,1562838.015
3.0,2001,Other,19100253 B04 I,05/06/2022,,$0,"$5,266",$0,,I - Informal Settlement,,1562838.015
1.0,1001,Serious,19100212 A01,04/06/2022,04/14/2022,"$7,000","$7,000",$0,,Z - Issued,,1560404.015
1.0,1001,Serious,19100305 B01 II,11/09/2021,,"$2,000","$4,000",$0,,I - Informal Settlement,,1558597.015
2.0,2001,Other,19100303 G01,11/09/2021,,$0,$0,$0,,I - Informal Settlement,,1558597.015
1.0,1001,Other,19100157 E02,02/07/2022,02/25/2022,$0,$0,$0,,Z - Issued,,1557622.015
2.0,1002,Other,19100157 E03,02/07/2022,02/17/2022,$0,$0,$0,,Z - Issued,,1557622.015
1.0,1001,Serious,5A0001,01/21/2022,,"$4,931","$4,931",$0,,Z - Issued,,1556415.015
