Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code
Initial Violations,1,,,,,1,1621876.015
Current Violations,,,,1,,1,1621876.015
Initial Penalty,"$4,661",$0,$0,$0,$0,"$4,661",1621876.015
Current Penalty,$0,$0,$0,"$2,796",$0,"$2,796",1621876.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1621876.015
Initial Violations,2,,,,,2,1614916.015
Current Violations,2,,,,,2,1614916.015
Initial Penalty,"$24,862",$0,$0,$0,$0,"$24,862",1614916.015
Current Penalty,"$24,862",$0,$0,$0,$0,"$24,862",1614916.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1614916.015
Initial Violations,,,1,,,1,1613884.015
Current Violations,,,1,,,1,1613884.015
Initial Penalty,$0,$0,$414,$0,$0,$414,1613884.015
Current Penalty,$0,$0,$414,$0,$0,$414,1613884.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1613884.015
Initial Violations,1,,,,,1,1590209.015
Current Violations,1,,,,,1,1590209.015
Initial Penalty,"$4,500",$0,$0,$0,$0,"$4,500",1590209.015
Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1590209.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1590209.015
Initial Violations,1,,,,,1,1589516.015
Current Violations,1,,,,,1,1589516.015
Initial Penalty,"$7,000",$0,$0,$0,$0,"$7,000",1589516.015
Current Penalty,"$7,000",$0,$0,$0,$0,"$7,000",1589516.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1589516.015
Initial Violations,2,,,,,2,1585255.015
Current Violations,2,,,,,2,1585255.015
Initial Penalty,"$18,232",$0,$0,$0,$0,"$18,232",1585255.015
Current Penalty,"$12,762",$0,$0,$0,$0,"$12,762",1585255.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1585255.015
Initial Violations,,,,1,,1,1578451.015
Current Violations,,,,1,,1,1578451.015
Initial Penalty,$0,$0,$0,"$2,279",$0,"$2,279",1578451.015
Current Penalty,$0,$0,$0,"$1,595",$0,"$1,595",1578451.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1578451.015
Initial Violations,2,,,,,2,1577632.015
Current Violations,2,,,,,2,1577632.015
Initial Penalty,"$23,246",$0,$0,$0,$0,"$23,246",1577632.015
Current Penalty,"$23,246",$0,$0,$0,$0,"$23,246",1577632.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1577632.015
Initial Violations,,,,1,,1,1574261.015
Current Violations,,,,1,,1,1574261.015
Initial Penalty,$0,$0,$0,"$6,215",$0,"$6,215",1574261.015
Current Penalty,$0,$0,$0,"$3,729",$0,"$3,729",1574261.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1574261.015
Initial Violations,1,,,,,1,1573131.015
Current Violations,,,,1,,1,1573131.015
Initial Penalty,"$14,502",$0,$0,$0,$0,"$14,502",1573131.015
Current Penalty,$0,$0,$0,"$8,701",$0,"$8,701",1573131.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1573131.015
Initial Violations,1,,,,,1,1563362.015
Current Violations,,,,1,,1,1563362.015
Initial Penalty,"$11,605",$0,$0,$0,$0,"$11,605",1563362.015
Current Penalty,$0,$0,$0,"$9,284",$0,"$9,284",1563362.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1563362.015
Initial Violations,2,,,1,,3,1562806.015
Current Violations,2,,,1,,3,1562806.015
Initial Penalty,"$43,506",$0,$0,$0,$0,"$43,506",1562806.015
Current Penalty,"$29,004",$0,$0,$0,$0,"$29,004",1562806.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1562806.015
Initial Violations,3,,,,,3,1562838.015
Current Violations,2,,,1,,3,1562838.015
Initial Penalty,"$24,137",$0,$0,$0,$0,"$24,137",1562838.015
Current Penalty,"$16,984",$0,$0,$0,$0,"$16,984",1562838.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1562838.015
Initial Violations,1,,,,,1,1560404.015
Current Violations,1,,,,,1,1560404.015
Initial Penalty,"$7,000",$0,$0,$0,$0,"$7,000",1560404.015
Current Penalty,"$7,000",$0,$0,$0,$0,"$7,000",1560404.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1560404.015
Initial Violations,1,,,1,,2,1558597.015
Current Violations,1,,,1,,2,1558597.015
Initial Penalty,"$4,000",$0,$0,$0,$0,"$4,000",1558597.015
Current Penalty,"$2,000",$0,$0,$0,$0,"$2,000",1558597.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1558597.015
Initial Violations,,,,2,,2,1557622.015
Current Violations,,,,2,,2,1557622.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1557622.015
Current Penalty,$0,$0,$0,$0,$0,$0,1557622.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1557622.015
Initial Violations,1,,,,,1,1556415.015
Current Violations,1,,,,,1,1556415.015
Initial Penalty,"$4,931",$0,$0,$0,$0,"$4,931",1556415.015
Current Penalty,"$4,931",$0,$0,$0,$0,"$4,931",1556415.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1556415.015
