#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
1.0,1001,Willful,2.181(3)(4)(A),11/16/2022,11/21/2022,"$70,000","$70,000",$0,12/08/2022,C - Contested,,1619753.015
2.0,1002,Willful,2.181(3)(4)(C),11/16/2022,11/21/2022,"$70,000","$70,000",$0,12/08/2022,C - Contested,,1619753.015
1.0,01001A,Other,19100141 B01 I,09/21/2022,,$0,$0,$0,,Z - Issued,,1617010.015
2.0,01001B,Other,19100141 C01 I,09/21/2022,,$0,$0,$0,,Z - Issued,,1617010.015
1.0,1001,Repeat,19100037 A03,10/18/2022,10/31/2022,"$4,500","$5,000",$0,,Z - Issued,,1609906.015
2.0,1002,Repeat,19100157 C01,10/18/2022,10/31/2022,"$2,250","$2,500",$0,,Z - Issued,,1609906.015
1.0,1001,Other,19100178 L04 II B,10/25/2022,12/13/2022,"$5,283","$5,283",$0,,I - Informal Settlement,,1607451.015
1.0,1001,Repeat,19100037 A03,12/12/2022,12/30/2022,"$145,027","$145,027",$0,,Z - Issued,,1601808.015
2.0,1002,Repeat,19100303 G01 II,12/12/2022,12/30/2022,"$145,027","$145,027",$0,,Z - Issued,,1601808.015
1.0,1001,Willful,19100037 A03,10/26/2022,11/07/2022,"$145,027","$145,027",$0,10/28/2022,C - Contested,,1599901.015
2.0,2001,Repeat,19100037 B02,10/26/2022,11/07/2022,"$11,396","$11,396",$0,10/28/2022,C - Contested,,1599901.015
3.0,2002,Repeat,19100305 B01 II,10/26/2022,11/07/2022,"$91,157","$91,157",$0,10/28/2022,C - Contested,,1599901.015
1.0,01001A,Repeat,19100036 G02,11/17/2022,,"$136,741","$136,741",$0,12/05/2022,C - Contested,,1599864.015
2.0,01001B,Repeat,19100037 A03,11/17/2022,,$0,$0,$0,12/05/2022,C - Contested,,1599864.015
3.0,01002,Repeat,19100157 C01,11/17/2022,,"$1,140","$1,140",$0,12/05/2022,C - Contested,,1599864.015
4.0,01003,Repeat,19100304 F01 IV,11/17/2022,,$414,$414,$0,12/05/2022,C - Contested,,1599864.015
1.0,1001,Serious,19100022 A03,10/26/2022,,"$9,116","$9,116",$0,,Z - Issued,,1598544.015
2.0,1002,Serious,19100028 B11 II,10/26/2022,,"$9,116","$9,116",$0,,Z - Issued,,1598544.015
3.0,1003,Serious,19100036 D01,10/26/2022,,"$9,116","$9,116",$0,,Z - Issued,,1598544.015
4.0,2001,Repeat,19100022 A01,10/26/2022,,"$91,157","$91,157",$0,,Z - Issued,,1598544.015
5.0,2002,Repeat,19100037 A03,10/26/2022,,"$91,157","$91,157",$0,,Z - Issued,,1598544.015
6.0,2003,Repeat,19100176 B,10/26/2022,,"$91,157","$91,157",$0,,Z - Issued,,1598544.015
7.0,2004,Repeat,19100303 G01 II,10/26/2022,,"$91,157","$91,157",$0,,Z - Issued,,1598544.015
1.0,1001,Willful,19100037 A03,11/16/2022,12/05/2022,"$70,000","$70,000",$0,12/08/2022,C - Contested,,1597335.015
2.0,2001,Repeat,19100022 A01,11/16/2022,12/05/2022,"$33,000","$33,000",$0,12/08/2022,C - Contested,,1597335.015
3.0,2002,Repeat,19100157 C01,11/16/2022,11/21/2022,"$16,500","$16,500",$0,12/08/2022,C - Contested,,1597335.015
4.0,2003,Repeat,19100303 G01 I A,11/16/2022,12/05/2022,"$22,000","$22,000",$0,12/08/2022,C - Contested,,1597335.015
5.0,3001,Serious,19100039 D,11/16/2022,11/21/2022,"$7,000","$7,000",$0,12/08/2022,C - Contested,,1597335.015
1.0,1001,Willful,19100022 A01,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1596914.015
2.0,1002,Willful,19100037 A03,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1596914.015
3.0,1003,Willful,19100176 B,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1596914.015
4.0,2001,Repeat,19100037 B02,10/26/2022,,"$2,277","$2,277",$0,10/28/2022,C - Contested,,1596914.015
5.0,2002,Repeat,19100157 C01,10/26/2022,11/22/2022,"$11,396","$11,396",$0,10/28/2022,C - Contested,,1596914.015
1.0,1001,Repeat,19100022 A01,10/26/2022,11/22/2022,"$136,741","$136,741",$0,10/28/2022,C - Contested,,1597065.015
2.0,1002,Repeat,19100037 A03,10/26/2022,11/22/2022,"$145,027","$145,027",$0,10/28/2022,C - Contested,,1597065.015
3.0,1003,Repeat,19100303 G01 II,10/26/2022,11/22/2022,"$136,741","$136,741",$0,10/28/2022,C - Contested,,1597065.015
1.0,1001,Other,19100303 B02,10/28/2022,11/15/2022,$0,$0,$0,,Z - Issued,,1596336.015
1.0,1001,Serious,19100022 A03,10/26/2022,11/22/2022,"$6,837","$6,837",$0,10/28/2022,C - Contested,,1593249.015
2.0,2001,Willful,19100022 A01,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1593249.015
3.0,2002,Willful,19100037 A03,10/26/2022,11/22/2022,"$145,027","$145,027",$0,10/28/2022,C - Contested,,1593249.015
4.0,2003,Willful,19100176 B,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1593249.015
5.0,2004,Willful,19100303 G01 II,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1593249.015
6.0,3001,Repeat,19100157 C01,10/26/2022,11/22/2022,"$11,396","$11,396",$0,10/28/2022,C - Contested,,1593249.015
7.0,3002,Repeat,19100157 E02,10/26/2022,11/22/2022,"$2,277","$2,277",$0,10/28/2022,C - Contested,,1593249.015
1.0,1001,Willful,19100022 A01,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1592570.015
2.0,1002,Willful,19100037 A03,10/26/2022,11/22/2022,"$145,027","$145,027",$0,10/28/2022,C - Contested,,1592570.015
3.0,1003,Willful,19100176 B,10/26/2022,11/22/2022,"$136,736","$136,736",$0,10/28/2022,C - Contested,,1592570.015
4.0,2001,Repeat,19100157 C01,10/26/2022,,"$11,396","$11,396",$0,10/28/2022,C - Contested,,1592570.015
1.0,1001,Serious,19100303 G01,09/23/2022,,"$10,360","$10,360",$0,11/07/2022,C - Contested,,1592900.015
2.0,1002,Serious,19100303 G01 VII B,09/23/2022,,"$10,360","$10,360",$0,11/07/2022,C - Contested,,1592900.015
3.0,1003,Serious,19100334 A03 III,09/23/2022,,"$10,360","$10,360",$0,11/07/2022,C - Contested,,1592900.015
4.0,2001,Other,19040040 A,09/23/2022,10/20/2022,"$2,072","$2,072",$0,11/07/2022,C - Contested,,1592900.015
1.0,1001,Other,19100037 A03,05/23/2022,06/22/2022,"$1,279","$1,279",$0,,Z - Issued,,1592340.015
1.0,1001,Willful,19100037 A03,10/06/2022,10/26/2022,"$136,736","$136,736",$0,10/11/2022,C - Contested,,1590571.015
