Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-19,2022-12-19
1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-19,2022-12-19
1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-19,2022-12-19
1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1607656.015,07/13/2022,626300,TX,Complaint,Partial,,452319,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1606852.015,07/11/2022,352460,MD,Complaint,Partial,,452319,4,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19
1605793.015,07/05/2022,355117,VA,Complaint,Partial,,453998,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1604260.015,06/22/2022,522300,OH,Complaint,Partial,,452319,2,"Family Dollar Stores, Inc./ Family Dollar Stores Of Ohio, Llc/ Family Dollar Operations, Llc/ Dollar Tree, Inc./ Dollar Tree Management, Llc/ Dollar Tree Stores Inc.",Dollar Tree,2012-12-19,2022-12-19
1603155.015,06/21/2022,453720,NC,Complaint,Partial,5331.0,452990,8,"152114 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
