#,Inspection,Age,Sex,Degree,Nature,Occupation,activity_code
1,1574059.015,,,Hospitalized injury,,Sales counter clerks,1574059.015
1,1379729.015,,,Non Hospitalized injury,,Occupation Not Listed,1379729.015
1,1276008.015,,,Hospitalized injury,,"Laborers, except construction",1276008.015
1,1274974.015,,,Non Hospitalized injury,,Industrial machinery repairers,1274974.015
1,1228654.015,,,Non Hospitalized injury,,Machinery maintenance occupations,1228654.015
1,1569391.015,,,Fatality,,"Managers and administrators, n.e.c",1569391.015
1,1457772.015,,,Hospitalized injury,,Construction Laborer,1457772.015
1,1370996.015,,,Hospitalized injury,,"Laborers, except construction",1370996.015
1,1361002.015,,,Non Hospitalized injury,,Machinery maintenance occupations,1361002.015
1,1218418.015,,,Hospitalized injury,,"Managers, marketing, advertising, & public rela.",1218418.015
1,1219504.015,,,Hospitalized injury,,"Management related occupations, n.e.c.",1219504.015
