,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Note,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1616331.015,08/22/2022,453720,NC,Complaint,Partial,5331.0,452990,6,"152579 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19,CLOSED,1616331.015,453720,08/22/2022,"152579 - Dollar Tree Stores, Inc.
			   2 Riceville RoadAsheville, NC 28805","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/22/2022,,11/10/2022,1616331.015,,,,,,,,,,Current Penalty,$0,$0,"$42,000",$0,$0,"$42,000",1616331.015
1,1618010.015,08/10/2022,316400,WV,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-19,2022-12-19,CLOSED,1618010.015,316400,08/10/2022,"Dollar Tree Stores, Inc
			   950 9th AvenueHuntington, WV 25701","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/30/2022,,10/31/2022,1618010.015,,,,,,,,,,Current Penalty,"$6,215",$0,$0,$0,$0,"$6,215",1618010.015
2,1612868.015,08/05/2022,953210,NV,Referral,Partial,,452319,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-19,2022-12-19,CLOSED,1612868.015,953210,08/05/2022,"Dollar Tree Stores, Inc. #1224
			   620 North Mccarran BoulevardSparks, NV 89431",500 Volvo Parkway Attn,NonUnion,,452319,Referral,Partial,N,Private,Safety,08/12/2022,,10/24/2022,1612868.015,,,,,,,,,,Current Penalty,"$2,245",$0,$0,$0,$0,"$2,245",1612868.015
3,1611611.015,08/01/2022,1054111,OR,Complaint,Partial,5331.0,452990,5,317731000 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19,OPEN,1611611.015,1054111,08/01/2022,"317731000 - Dollar Tree Stores Inc
			   29756 Sw Town Center Loop W Ste FWilsonville, OR 97070","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,10/11/2022,P,,1611611.015,,,,,,,,,,Current Penalty,$0,$0,"$33,000",$0,$0,"$33,000",1611611.015
4,1610668.015,07/27/2022,1054111,OR,Complaint,Partial,5331.0,452990,1,317730993 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19,CLOSED,1610668.015,1054111,07/27/2022,"317730993 - Dollar Tree Stores Inc
			   1900 Mcloughlin Blvd Ste 128Oregon City, OR 97045","500 Volvo Pkwy, Chesapeake, VA 23320",NonUnion,5331.0,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/16/2022,P,11/23/2022,1610668.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1610668.015
5,1609488.015,07/21/2022,111100,ME,Complaint,Partial,,452319,1,Dollar Tree,Dollar Tree,2012-12-19,2022-12-19,CLOSED,1609488.015,111100,07/21/2022,"Dollar Tree
			   152 Western Ave. Suite 2Augusta, ME 04330","152 Western Ave. Suite 2, Augusta, ME 04330",NonUnion,,452319,Complaint,Partial,N,Private,Health,08/12/2022,N,10/21/2022,1609488.015,,,,,,,,,,Current Penalty,$0,$0,"$23,928",$0,$0,"$23,928",1609488.015
6,1608368.015,07/18/2022,626600,TX,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19,OPEN,1608368.015,626600,07/18/2022,"Dollar Tree Stores, Inc.
			   23741 U.S. 59 NorthPorter, TX 77365","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/18/2022,,,1608368.015,,,,,,,,,,Current Penalty,$0,$0,"$22,792",$0,$0,"$22,792",1608368.015
7,1608303.015,07/18/2022,352430,MD,Complaint,Partial,,452319,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19,CLOSED,1608303.015,352430,07/18/2022,"Dollar Tree Stores, Inc.
			   5650 Baltimore National PikeCatonsville, MD 21228","500 Volvo Parkway, Chesapeake, VA 23320",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/22/2022,,11/09/2022,1608303.015,,,,,,,,,,Current Penalty,$875,$0,$0,$0,$0,$875,1608303.015
8,1607656.015,07/13/2022,626300,TX,Complaint,Partial,,452319,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19,CLOSED,1607656.015,626300,07/13/2022,"Dollar Tree Stores, Inc.
			   2604 Gilmer RoadLongview, TX 75604","2604 Gilmer Road, Longview, TX 75604",NonUnion,,452319,Complaint,Partial,N,Private,Safety,07/13/2022,,11/17/2022,1607656.015,,,,,,,,,,Current Penalty,$0,$0,"$10,360","$2,072",$0,"$12,432",1607656.015
9,1606852.015,07/11/2022,352460,MD,Complaint,Partial,,452319,4,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19,OPEN,1606852.015,352460,07/11/2022,"Dollar Tree, Inc.
			   1140 Smallwood Drive West Suite AWaldorf, MD 20603",500 Volvo Parkway Attn,NonUnion,,452319,Complaint,Partial,N,Private,Health,08/04/2022,,,1606852.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1606852.015
