#,Inspection,Age,Sex,Degree,Nature,Occupation,activity_code
1,1579336.015,,,Hospitalized injury,,Machinery maintenance occupations,1579336.015
1,1576433.015,,,Hospitalized injury,,Stock and inventory clerks,1576433.015
1,1567532.015,,,Hospitalized injury,,Automobile mechanics,1567532.015
1,1567394.015,,,Hospitalized injury,,,1567394.015
1,1432635.015,,,Hospitalized injury,,Stock and inventory clerks,1432635.015
1,1433863.015,,,Hospitalized injury,,Industrial truck and tractor equipment operators,1433863.015
1,1429571.015,,,Fatality,,Janitors and cleaners,1429571.015
1,1419264.015,,,Hospitalized injury,,Operations & systems researchers and analysts,1419264.015
1,1411676.015,,,Hospitalized injury,,Stock and inventory clerks,1411676.015
1,1406719.015,,,Hospitalized injury,,,1406719.015
1,1404817.015,,,Non Hospitalized injury,,"Technicians, n.e.c.",1404817.015
1,1403432.015,,,Fatality,,Occupation not reported,1403432.015
1,1402158.015,,,Hospitalized injury,,Stock handlers and baggers,1402158.015
1,1391189.015,,,Fatality,,Receptionists,1391189.015
1,1374860.015,,,Non Hospitalized injury,,"Laborers, except construction",1374860.015
1,1359409.015,,,Hospitalized injury,,Bakers,1359409.015
1,1343952.015,,,Hospitalized injury,,"Freight, stock and material handlers, n.e.c.",1343952.015
1,1342236.015,,,Hospitalized injury,,,1342236.015
1,1333504.015,,,Fatality,,"Sales occupations, other business services",1333504.015
1,1330789.015,,,Hospitalized injury,,"Laborers, except construction",1330789.015
1,1323026.015,,,Hospitalized injury,,,1323026.015
1,1323056.015,,,Non Hospitalized injury,,Cashiers,1323056.015
1,1317663.015,,,Non Hospitalized injury,,Automobile mechanics,1317663.015
1,1315930.015,,,Hospitalized injury,,Bakers,1315930.015
1,1313974.015,,,Hospitalized injury,,Occupation Not Listed,1313974.015
1,1273213.015,,,Hospitalized injury,,,1273213.015
1,1236205.015,,,Hospitalized injury,,Occupation Not Listed,1236205.015
1,1212981.015,,,Fatality,,Order clerks,1212981.015
1,1139583.015,,,Fatality,,Occupation not reported,1139583.015
1,1045375.015,,,Fatality,,Automobile mechanics,1045375.015
1,317167542.0,,,Fatality,Other,Stock handlers and baggers,317167542.0
1,316734193.0,,,Hospitalized injury,Cut/Laceration,Occupation not reported,316734193.0
1,314568205.0,,,Non Hospitalized injury,Amputation,Order clerks,314568205.0
1,314147109.0,,,Hospitalized injury,Amputation,Occupation not reported,314147109.0
