Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-31,2022-12-31
1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-31,2022-12-31
1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-31,2022-12-31
1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-31,2022-12-31
1608665.015,07/18/2022,950624,CA,Complaint,Partial,,452210,1,Walmart Inc.,Walmart,2012-12-31,2022-12-31
1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-31,2022-12-31
1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-31,2022-12-31
1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-31,2022-12-31
1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-31,2022-12-31
1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-31,2022-12-31
1602445.015,06/15/2022,950615,CA,Complaint,Partial,,453998,1,Walmart Neighborhood Market,Walmart,2012-12-31,2022-12-31
1600312.015,06/07/2022,953210,NV,Referral,Partial,,493110,3,Walmart Distribution Center #7048,Walmart,2012-12-31,2022-12-31
1598901.015,05/31/2022,950621,CA,Complaint,Partial,,445110,4,Walmart Inc.,Walmart,2012-12-31,2022-12-31
1595404.015,05/12/2022,950662,CA,Planned,Complete,,452311,4,Walmart Inc. Store# 3516,Walmart,2012-12-31,2022-12-31
1595365.015,05/09/2022,830300,ND,Referral,Partial,,452210,1,Walmart Supercenter Store #3648,Walmart,2012-12-31,2022-12-31
1594520.015,05/03/2022,950662,CA,Planned,Complete,,452311,1,Walmart # 4340,Walmart,2012-12-31,2022-12-31
