Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC,NAICS,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide
OPEN,1617962.015,0552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,
CLOSED,1617558.015,0951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,
OPEN,1618144.015,0452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,
CLOSED,1616220.015,0552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,
OPEN,1608665.015,0950624,07/18/2022,"Walmart Inc.
			   2480 Geer RoadTurlock, CA 95382",702 Sw 8th St. Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,11/22/2022,,,1608665.015,,,,,,,,,
OPEN,1606171.015,0213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,
OPEN,1605577.015,0627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,
OPEN,1605398.015,0213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,
CLOSED,1604505.015,0522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,
CLOSED,1602840.015,0453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,
CLOSED,1602445.015,0950615,06/15/2022,"Walmart Neighborhood Market
			   941 Alamo DriveVacaville, CA 95687","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Health,08/24/2022,,09/12/2022,1602445.015,,,,,,,,,
OPEN,1600312.015,0953210,06/07/2022,"Walmart Distribution Center #7048
			   2155 Usa PkwyMccarran, NV 89434","2155 Usa Pkwy, Mccarran, NV 89434",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,N,Private,Safety,09/23/2022,S,,1600312.015,,,,,,,,,
OPEN,1598901.015,0950621,05/31/2022,"Walmart Inc.
			   215 California StreetWoodland, CA 95695","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,,1598901.015,,,,,,,,,
CLOSED,1595404.015,0950662,05/12/2022,"Walmart Inc. Store# 3516
			   1360 Eastlake PkwyChula Vista, CA 91915","1360 Eastlake Pkwy, Chula Vista, CA 91915",NonUnion,,452311,Planned,Complete,N,Private,Safety,08/23/2022,P,10/07/2022,1595404.015,,,,,,,,,
CLOSED,1595365.015,0830300,05/09/2022,"Walmart Supercenter Store #3648
			   1400 Skyline BoulevardBismarck, ND 58503","1400 Skyline Boulevard, Bismarck, ND 58503",NonUnion,,452210,Referral,Partial,N,Private,Safety,05/09/2022,N,12/01/2022,1595365.015,,,,,,,,,
