Type,Activity Nr,Safety,Health,activity_code
Complaint,1879037,Yes,,1617962.015
Complaint,1931810,Yes,,1616220.015
Complaint,1920645,Yes,,1608665.015
Referral,1915730,Yes,,1606171.015
Complaint,1912898,Yes,,1605577.015
Complaint,1911666,Yes,,1605398.015
Referral,1896229,Yes,,1604505.015
Complaint,1907064,,Yes,1602840.015
Complaint,1907065,,Yes,1602840.015
Complaint,1907069,,Yes,1602840.015
Complaint,1907070,,Yes,1602840.015
Complaint,1907071,,Yes,1602840.015
Complaint,1906992,,Yes,1602445.015
Referral,1897583,Yes,,1600312.015
Complaint,1860744,Yes,Yes,1598901.015
Referral,1890771,Yes,,1595365.015
Inspection,1588305,Yes,,1588306.015
Referral,1881176,Yes,,1588117.015
Referral,1881990,Yes,,1587747.015
Referral,1875222,,Yes,1583501.015
Inspection,1583506,,Yes,1583501.015
Referral,1864728,Yes,,1579336.015
Complaint,1859388,,Yes,1577014.015
Referral,1861337,Yes,,1576433.015
Complaint,1854725,Yes,,1574684.015
Complaint,1848133,Yes,,1570673.015
Complaint,1844096,Yes,,1569555.015
Complaint,1839288,,Yes,1569761.015
Complaint,1842305,,Yes,1569761.015
Complaint,1862101,,Yes,1569761.015
Referral,1832593,Yes,,1568859.015
Complaint,1841541,Yes,,1568886.015
Referral,1839105,Yes,Yes,1567532.015
Referral,1838861,Yes,,1567394.015
Complaint,1837542,Yes,,1568294.015
Complaint,1834224,Yes,,1566012.015
Complaint,1832028,Yes,,1567500.015
Referral,1830976,Yes,,1562904.015
Inspection,1561955,,Yes,1561852.015
Accident,1783645,,,1559888.015
Complaint,1816202,Yes,,1556919.015
Complaint,1818122,Yes,,1555579.015
Referral,1788895,Yes,,1549823.015
Referral,1790442,Yes,,1547108.015
Complaint,1794126,Yes,,1545765.015
Complaint,1792099,Yes,,1546084.015
Complaint,1790404,Yes,,1546860.015
Complaint,1787731,Yes,,1542614.015
Complaint,1782821,,Yes,1541266.015
Referral,1781052,Yes,,1540203.015
Referral,1772933,Yes,,1537489.015
Accident,1773017,,,1533954.015
Inspection,1512248,,Yes,1533954.015
Complaint,1769182,Yes,Yes,1532844.015
Complaint,1764875,Yes,Yes,1531780.015
Referral,1759041,Yes,,1526112.015
Complaint,1753904,,Yes,1525850.015
Complaint,1748640,Yes,,1522022.015
Complaint,1728005,,Yes,1517051.015
Complaint,1727699,Yes,,1514241.015
Complaint,1725054,,Yes,1512248.015
Inspection,1533954,Yes,,1512248.015
Complaint,1708957,Yes,Yes,1507787.015
Referral,1700641,Yes,,1506767.015
Accident,1690998,,,1505904.015
Complaint,1671847,Yes,Yes,1507604.015
Complaint,1686277,,Yes,1506018.015
Referral,1693057,Yes,,1503964.015
Referral,1671020,,Yes,1491480.015
Complaint,1650249,Yes,,1492165.015
Complaint,1538723,Yes,,1490035.015
Complaint,1643548,,Yes,1488012.015
Referral,1643382,,Yes,1487531.015
Complaint,1631687,Yes,Yes,1486123.015
Referral,1625387,Yes,,1485107.015
Accident,1626188,,,1485188.015
Referral,1626140,,Yes,1484241.015
Referral,1622803,,Yes,1483167.015
Referral,1622819,,Yes,1483151.015
Referral,1621294,,Yes,1483019.015
Referral,1621177,Yes,Yes,1483129.015
Accident,1553178,,,1469714.015
Complaint,1543583,Yes,,1463894.015
Complaint,1541675,Yes,,1463070.015
Referral,1533804,,Yes,1455592.015
Complaint,1504188,Yes,,1452616.015
Referral,1511495,Yes,,1439633.015
Referral,1504559,Yes,,1434925.015
Complaint,1497914,,Yes,1434692.015
Accident,1490974,,,1432635.015
Accident,1497771,,,1461476.015
Accident,1488334,,,1433863.015
Accident,1496086,,,1429571.015
Complaint,1488656,Yes,Yes,1424705.015
Complaint,1479421,Yes,,1417541.015
Referral,1479283,Yes,,1419264.015
Referral,1484266,Yes,,1420674.015
Referral,1469243,Yes,,1411676.015
Referral,1466714,Yes,,1410498.015
Complaint,1441986,,Yes,1407648.015
Referral,1461121,Yes,,1406719.015
Accident,1453079,,,1404817.015
Accident,1458710,,,1403432.015
Referral,1451555,Yes,,1402158.015
Complaint,1450077,Yes,,1398297.015
Complaint,1450333,,Yes,1398365.015
Accident,1442521,,,1391189.015
Referral,1431527,Yes,,1386756.015
Complaint,1418855,,Yes,1381487.015
Inspection,1333504,,Yes,1376629.015
Referral,1417301,Yes,,1374860.015
Complaint,1399144,Yes,,1372809.015
Complaint,1416543,Yes,,1372348.015
Referral,1417560,Yes,,1372611.015
Referral,1413145,Yes,,1369334.015
Referral,1398446,Yes,,1359409.015
Referral,1398404,Yes,,1359409.015
Referral,1388832,Yes,,1352658.015
Inspection,1353896,Yes,,1352658.015
Referral,1362534,Yes,,1343952.015
Complaint,1377777,Yes,,1343963.015
Referral,1375723,Yes,,1342236.015
Complaint,1369965,Yes,,1341764.015
Complaint,1361018,Yes,Yes,1339904.015
Referral,1363314,Yes,,1336638.015
Accident,1362647,,,1333504.015
Complaint,1365424,,Yes,1334475.015
Complaint,1365419,,Yes,1334475.015
Referral,1359548,Yes,,1330789.015
Complaint,1356677,Yes,,1329820.015
Referral,1346479,Yes,,1323026.015
Referral,1346534,Yes,,1323056.015
Complaint,1345999,Yes,,1322541.015
Complaint,1336845,Yes,,1316445.015
Referral,1340013,Yes,,1317663.015
Accident,1337113,,,1315930.015
Accident,1331200,,,1313974.015
Complaint,1330024,,Yes,1310947.015
Complaint,1323137,Yes,,1308146.015
Complaint,1316783,Yes,,1300956.015
Referral,1297333,Yes,,1292351.015
Complaint,1288746,Yes,,1281158.015
Referral,1276785,Yes,,1276965.015
Referral,1275938,Yes,,1273213.015
Complaint,1254843,Yes,,1259424.015
Complaint,1247577,Yes,,1253084.015
Complaint,1246060,Yes,,1251641.015
Accident,1219045,,,1236205.015
Complaint,1207503,Yes,,1233977.015
Complaint,1199454,Yes,,1228790.015
Referral,1197219,Yes,,1224611.015
Complaint,1192505,Yes,,1218260.015
Accident,1185104,,,1212981.015
Complaint,1179128,Yes,,1209170.015
Complaint,1159835,Yes,,1200030.015
Referral,1149653,Yes,,1189098.015
Referral,1133045,Yes,,1177827.015
Complaint,1130223,Yes,Yes,1174044.015
Complaint,1127514,Yes,,1171927.015
Complaint,1116382,Yes,Yes,1171761.015
Accident,1119339,,,1170363.015
Accident,1117232,,,1165955.015
Complaint,1113523,,Yes,1165793.015
Inspection,1165806,,Yes,1165793.015
Inspection,1172382,,Yes,1165793.015
Accident,1113569,,,1163920.015
Complaint,1090106,Yes,,1147026.015
Accident,1080272,,,1139583.015
Inspection,1135869,Yes,,1135681.015
Complaint,1071874,Yes,,1132237.015
Complaint,1067023,,Yes,1131495.015
Complaint,1061341,Yes,,1126228.015
Complaint,1052761,Yes,,1117055.015
Referral,1049859,Yes,,1115308.015
Complaint,1048807,Yes,Yes,1115436.015
Complaint,1047322,Yes,,1113704.015
Referral,1045420,Yes,,1113134.015
Referral,1042453,Yes,,1110254.015
Referral,1031861,Yes,,1100683.015
Referral,1029749,Yes,,1100683.015
Complaint,1009621,,Yes,1097402.015
Inspection,1106238,,Yes,1097402.015
Complaint,1022259,Yes,,1094176.015
Complaint,1005974,,Yes,1086622.015
Complaint,1007467,,Yes,1086264.015
Inspection,1088205,,Yes,1086264.015
Complaint,1008909,,Yes,1083571.015
Complaint,1000407,Yes,,1077695.015
Complaint,998271,Yes,,1076433.015
Complaint,991262,,Yes,1073362.015
Referral,977803,Yes,,1059076.015
Referral,976269,Yes,,1057453.015
Complaint,971288,Yes,,1049804.015
Accident,968072,,,1045375.015
Accident,942268,,,1031929.015
Complaint,931480,,Yes,1022228.015
Complaint,209478957,Yes,,317943330.0
Complaint,923762,Yes,,1011224.015
Complaint,925918,Yes,,1012577.015
Complaint,925803,Yes,,1012605.015
Complaint,924359,Yes,,1011042.015
Complaint,917896,Yes,,1005410.015
Complaint,914857,Yes,,1001394.015
Complaint,909580,Yes,Yes,996999.015
Complaint,909501,Yes,,996174.015
Complaint,907495,Yes,,995484.015
Referral,910903,Yes,,990144.015
Complaint,896527,Yes,,984462.015
Complaint,209294701,Yes,,317205078.0
Complaint,209045301,,Yes,317525467.0
Complaint,890784,Yes,,978119.015
Accident,102902939,,,316673888.0
Complaint,879300,,Yes,966978.015
Complaint,878727,Yes,,965379.015
Complaint,207300385,Yes,,316993864.0
Complaint,874465,Yes,Yes,962378.015
Complaint,870712,Yes,,957918.015
Complaint,209156801,Yes,,317528206.0
Complaint,208929810,Yes,,317428811.0
Complaint,865344,Yes,,952351.015
Complaint,852007,Yes,,941781.015
Referral,203250329,Yes,,316868322.0
Complaint,208843649,Yes,,317224632.0
Complaint,836428,Yes,,924610.015
Complaint,208924795,Yes,,317058386.0
Complaint,825000,Yes,Yes,916197.015
Accident,100924877,,,317167542.0
Complaint,208833954,Yes,,317004091.0
Referral,203160304,Yes,,316774884.0
Referral,203091392,Yes,,316867464.0
Complaint,807943,Yes,,895559.015
Complaint,805854,Yes,,892560.015
Complaint,792132,Yes,,891104.015
Referral,201723434,Yes,,316604156.0
Accident,102834090,,,316734193.0
Complaint,646010,Yes,,752121.015
Complaint,208707356,,Yes,315319731.0
Complaint,207987223,Yes,,314223884.0
Complaint,208810648,Yes,Yes,314999137.0
Complaint,208878660,Yes,,314999137.0
Referral,203090220,Yes,,316586700.0
Complaint,427210,Yes,,654839.015
Complaint,208824508,Yes,,312075880.0
Complaint,381530,Yes,,460213.015
Complaint,208294413,Yes,Yes,314577446.0
Referral,203104039,Yes,,316250810.0
Complaint,208545061,Yes,,314829417.0
Complaint,207941972,Yes,,314330556.0
Complaint,207493834,Yes,,315316901.0
Referral,203089032,Yes,,316110717.0
Inspection,315751537,,,315751826.0
Referral,202973483,Yes,,315751826.0
Complaint,208535419,Yes,,315541631.0
Complaint,208094128,Yes,,315751537.0
Complaint,208290072,Yes,,314570243.0
Complaint,208573758,Yes,Yes,312057896.0
Complaint,208400291,Yes,,315827824.0
Complaint,208222125,Yes,,314727058.0
Complaint,207755612,Yes,Yes,315817122.0
Complaint,208514125,Yes,,316065879.0
Complaint,207867755,Yes,,315918748.0
Referral,201326683,Yes,,314726423.0
Complaint,77921,Yes,Yes,98356.015
Referral,201339108,Yes,Yes,315502880.0
Complaint,207405663,Yes,Yes,315502476.0
Complaint,207571720,,Yes,310099916.0
Complaint,208251090,Yes,,315550434.0
Complaint,205924293,,Yes,314011214.0
Accident,361683907,,,314568205.0
Complaint,201714227,,Yes,314941501.0
Complaint,207490004,Yes,,312363500.0
Complaint,208258996,,Yes,311996912.0
Complaint,207540709,Yes,Yes,315174250.0
Referral,203064159,,Yes,314715509.0
Complaint,207403387,Yes,,315178053.0
Complaint,207084534,Yes,,314276494.0
Complaint,208115840,,Yes,314040999.0
Complaint,208004523,Yes,,314589441.0
Complaint,207763640,Yes,,315001198.0
Complaint,207763558,Yes,,315001057.0
Complaint,208004002,Yes,,314302365.0
Complaint,206770125,Yes,Yes,313760811.0
Complaint,207441080,,Yes,314658287.0
Complaint,207645334,Yes,,313741159.0
Accident,102460136,,,308878610.0
Referral,202270658,,Yes,313847592.0
Complaint,207367087,Yes,,313165953.0
Complaint,207206038,Yes,,312663867.0
Complaint,207520487,Yes,,314256181.0
Accident,102678042,,,314147109.0
Complaint,207689308,Yes,,314539800.0
Referral,202989653,Yes,,314489782.0
Complaint,207698655,Yes,,313831075.0
Complaint,201485554,,Yes,312914583.0
Referral,201722865,Yes,,313453854.0
Complaint,207416165,Yes,,313992299.0
Complaint,207419870,Yes,,313152977.0
