#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
1.0,1001,Other,19100022 D02,10/06/2022,11/08/2022,$0,$0,$0,,I - Informal Settlement,,1617962.015
1.0,1001,Other,19100036 G02,09/20/2022,,$0,$0,$0,,Z - Issued,,1617558.015
1.0,1001,Other,19040041 A01,09/02/2022,09/06/2022,"$5,000","$5,000",$0,09/23/2022,C - Contested,,1618144.015
1.0,1001,Serious,19100022 A03,09/09/2022,10/12/2022,"$2,250","$4,500",$0,,I - Informal Settlement,,1616220.015
1.0,1001,Other,23400016 B01,11/22/2022,01/12/2023,$315,$315,$0,12/13/2022,O - Administrative Law Judge Order,Citation has been deleted.,1608665.015
2.0,1002,Other,5A0001,11/22/2022,01/12/2023,$315,$315,$0,12/13/2022,O - Administrative Law Judge Order,,1608665.015
1.0,1001,Serious,19100178 L04 III,10/25/2022,,"$14,502","$14,502",$0,,Z - Issued,,1606171.015
2.0,1002,Serious,19100178 N04,10/25/2022,,"$14,502","$14,502",$0,,Z - Issued,,1606171.015
1.0,1001,Serious,19100022 A03,09/23/2022,10/03/2022,"$12,431","$12,431",$0,10/17/2022,C - Contested,,1605577.015
1.0,1001,Serious,19100037 A03,11/29/2022,,"$8,287","$8,287",$0,,Z - Issued,,1605398.015
1.0,1001,Other,19040039 A02,09/30/2022,,"$10,360","$20,720",$0,,I - Informal Settlement,,1604505.015
1.0,1001,Other,19100141 C01 I,08/03/2022,08/08/2022,$950,"$1,200",$0,,I - Informal Settlement,,1602840.015
1.0,1001,Other,3205(C)(3)(B)3.,08/24/2022,,$600,$600,$0,,Z - Issued,,1602445.015
1.0,1001,Other,19100136 A,12/02/2022,01/03/2023,"$1,163","$1,163",$0,12/29/2022,C - Contested,,1600312.015
2.0,1002,Other,19040004 A,12/02/2022,12/19/2022,"$3,000","$3,000",$0,12/29/2022,C - Contested,,1600312.015
3.0,2001,Other,NEVADA ADMINISTRATIVE CODE 618.54,12/02/2022,12/19/2022,"$1,000","$1,000",$0,12/29/2022,C - Contested,,1600312.015
1.0,1001,Other,5A0001,09/01/2022,,$800,$800,$0,,Z - Issued,,1598901.015
2.0,1002,Other,3364(B),09/01/2022,,$500,$500,$0,,Z - Issued,,1598901.015
3.0,1003,Other,6151(C)(1),09/01/2022,,$300,$300,$0,,Z - Issued,,1598901.015
4.0,1004,Other,6151(C)(4),09/01/2022,,$400,$400,$0,,Z - Issued,,1598901.015
1.0,1001,Other,3664(A),08/23/2022,,$375,$375,$0,,Z - Issued,,1595404.015
2.0,1002,Other,23400002 A08,08/23/2022,,$750,$750,$0,,Z - Issued,,1595404.015
3.0,1003,Other,23400012 D,08/23/2022,,$750,$750,$0,,Z - Issued,,1595404.015
4.0,1004,Other,3249(B),08/23/2022,09/22/2022,$750,$750,$0,,Z - Issued,,1595404.015
1.0,1001,Other,19100177 G02,08/09/2022,08/19/2022,"$8,000","$14,502",$0,,I - Informal Settlement,,1595365.015
2.0,2001,Other,19100177 C01 I,08/09/2022,08/19/2022,"$1,163","$1,163",$0,,I - Informal Settlement,Citation has been deleted.,1595365.015
1.0,1001,Serious,23400001,10/25/2022,,"$2,250","$2,250",$0,,Z - Issued,,1594520.015
1.0,1001,Other,6151(C)(1),08/08/2022,,$420,$420,$0,,Z - Issued,,1588306.015
1.0,01001A,Other,19100147 C04 I,09/26/2022,10/14/2022,"$3,500","$14,502",$0,,I - Informal Settlement,,1588117.015
2.0,01001B,Serious,19100147 D02,09/26/2022,10/06/2022,$0,$0,$0,,I - Informal Settlement,Citation has been deleted.,1588117.015
1.0,1001,Other,19040029 B06,08/01/2022,08/05/2022,"$2,975","$3,500",$0,,I - Informal Settlement,,1587747.015
1.0,1001,Other,19100303 G01,05/13/2022,05/31/2022,$175,$175,$0,,Z - Issued,,1586021.015
1.0,1001,Other,23400016 C,04/29/2022,06/03/2022,$185,$185,$0,07/13/2022,C - Contested,,1583690.015
2.0,1002,Other,24730001 B,04/29/2022,06/03/2022,$560,$560,$0,07/13/2022,C - Contested,,1583690.015
3.0,1003,Other,24730002 A,04/29/2022,06/03/2022,$560,$560,$0,07/13/2022,C - Contested,,1583690.015
4.0,1004,Other,25000008 A,04/29/2022,06/03/2022,$420,$420,$0,,Z - Issued,,1583690.015
1.0,1001,Other,296-817-20005(1),07/26/2022,03/22/2022,$0,$0,$0,08/15/2022,L - State Settlement,,1583501.015
2.0,1002,Other,296-800-28025,07/26/2022,03/18/2022,$0,$0,$0,08/15/2022,L - State Settlement,,1583501.015
1.0,1001,Other,19040032 B03,04/21/2022,05/03/2022,"$2,072","$2,072",$0,,I - Informal Settlement,Citation has been deleted.,1580712.015
2.0,1002,Other,19040032 B06,04/21/2022,05/03/2022,"$2,072","$2,072",$0,,I - Informal Settlement,Citation has been deleted.,1580712.015
3.0,1003,Other,19040040 A,04/21/2022,05/03/2022,"$1,000","$2,072",$0,,I - Informal Settlement,,1580712.015
