Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code
Initial Violations,,,,1,,1,1617962.015
Current Violations,,,,1,,1,1617962.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1617962.015
Current Penalty,$0,$0,$0,$0,$0,$0,1617962.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1617962.015
Initial Violations,,,,1,,1,1617558.015
Current Violations,,,,1,,1,1617558.015
Initial Penalty,$0,$0,$0,$0,$0,$0,1617558.015
Current Penalty,$0,$0,$0,$0,$0,$0,1617558.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1617558.015
Initial Violations,,,,1,,1,1618144.015
Current Violations,,,,1,,1,1618144.015
Initial Penalty,$0,$0,$0,"$5,000",$0,"$5,000",1618144.015
Current Penalty,$0,$0,$0,"$5,000",$0,"$5,000",1618144.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1618144.015
Initial Violations,1,,,,,1,1616220.015
Current Violations,1,,,,,1,1616220.015
Initial Penalty,"$4,500",$0,$0,$0,$0,"$4,500",1616220.015
Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1616220.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1616220.015
Initial Violations,,,,2,,2,1608665.015
Current Violations,,,,1,,1,1608665.015
Initial Penalty,$0,$0,$0,$630,$0,$630,1608665.015
Current Penalty,$0,$0,$0,$315,$0,$315,1608665.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1608665.015
Initial Violations,2,,,,,2,1606171.015
Current Violations,2,,,,,2,1606171.015
Initial Penalty,"$29,004",$0,$0,$0,$0,"$29,004",1606171.015
Current Penalty,"$29,004",$0,$0,$0,$0,"$29,004",1606171.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1606171.015
Initial Violations,1,,,,,1,1605577.015
Current Violations,1,,,,,1,1605577.015
Initial Penalty,"$12,431",$0,$0,$0,$0,"$12,431",1605577.015
Current Penalty,"$12,431",$0,$0,$0,$0,"$12,431",1605577.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1605577.015
Initial Violations,1,,,,,1,1605398.015
Current Violations,1,,,,,1,1605398.015
Initial Penalty,"$8,287",$0,$0,$0,$0,"$8,287",1605398.015
Current Penalty,"$8,287",$0,$0,$0,$0,"$8,287",1605398.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1605398.015
Initial Violations,,,1,,,1,1604505.015
Current Violations,,,,1,,1,1604505.015
Initial Penalty,$0,$0,"$20,720",$0,$0,"$20,720",1604505.015
Current Penalty,$0,$0,$0,"$10,360",$0,"$10,360",1604505.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1604505.015
Initial Violations,1,,,,,1,1602840.015
Current Violations,,,,1,,1,1602840.015
Initial Penalty,"$1,200",$0,$0,$0,$0,"$1,200",1602840.015
Current Penalty,$0,$0,$0,$950,$0,$950,1602840.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1602840.015
Initial Violations,,,,1,,1,1602445.015
Current Violations,,,,1,,1,1602445.015
Initial Penalty,$0,$0,$0,$600,$0,$600,1602445.015
Current Penalty,$0,$0,$0,$600,$0,$600,1602445.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1602445.015
Initial Violations,,,,3,,3,1600312.015
Current Violations,,,,3,,3,1600312.015
Initial Penalty,$0,$0,$0,"$5,163",$0,"$5,163",1600312.015
Current Penalty,$0,$0,$0,"$5,163",$0,"$5,163",1600312.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1600312.015
Initial Violations,,,,4,,4,1598901.015
Current Violations,,,,4,,4,1598901.015
Initial Penalty,$0,$0,$0,"$2,000",$0,"$2,000",1598901.015
Current Penalty,$0,$0,$0,"$2,000",$0,"$2,000",1598901.015
FTA Penalty,$0,$0,$0,$0,$0,$0,1598901.015
Initial Violations,,,,4,,4,1595404.015
