,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-31,2022-12-31,OPEN,1617962.015,552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,,Initial Violations,,,,1,,1,1617962.015
1,1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-31,2022-12-31,OPEN,1617962.015,552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,,Current Violations,,,,1,,1,1617962.015
2,1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-31,2022-12-31,OPEN,1617962.015,552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,,Initial Penalty,$0,$0,$0,$0,$0,$0,1617962.015
3,1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-31,2022-12-31,OPEN,1617962.015,552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1617962.015
4,1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-31,2022-12-31,OPEN,1617962.015,552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1617962.015
5,1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-31,2022-12-31,CLOSED,1617558.015,951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,,Initial Violations,,,,1,,1,1617558.015
6,1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-31,2022-12-31,CLOSED,1617558.015,951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,,Current Violations,,,,1,,1,1617558.015
7,1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-31,2022-12-31,CLOSED,1617558.015,951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,,Initial Penalty,$0,$0,$0,$0,$0,$0,1617558.015
8,1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-31,2022-12-31,CLOSED,1617558.015,951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1617558.015
9,1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-31,2022-12-31,CLOSED,1617558.015,951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,,FTA Penalty,$0,$0,$0,$0,$0,$0,1617558.015
