Unnamed: 0,Activity,Opened,RID,St,Type,Sc,SIC_x,NAICS_x,Vio,Establishment Name,query,query_start,query_end,Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC_y,NAICS_y,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code_x,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide,Violations/Penalties,Serious,Willful,Repeat,Other,Unclass,Total,activity_code_y
0,1617962.015,08/29/2022,552652,MI,Complaint,Partial,,445110,1,Walmart #1754,Walmart,2012-12-19,2022-12-19,OPEN,1617962.015,552652,08/29/2022,"Walmart #1754
			   3850 E Grand River AveHowell, MI 48843","702 Sw 8th Street- Mailstop 0505., Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,09/21/2022,,,1617962.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1617962.015
1,1617558.015,08/25/2022,951510,HI,Prog Other,Complete,,722513,1,Mcdonalds Of Walmart - Kapolei,Walmart,2012-12-19,2022-12-19,CLOSED,1617558.015,951510,08/25/2022,"Mcdonalds Of Walmart - Kapolei
			   91-600 Farrington HwyKapolei, HI 96707","91-600 Farrington Hwy, Kapolei, HI 96707",NonUnion,,722513,Prog Other,Complete,N,Private,Safety,08/25/2022,P,09/26/2022,1617558.015,,,,,,,,,,Current Penalty,$0,$0,$0,$0,$0,$0,1617558.015
2,1618144.015,08/24/2022,452110,KY,Planned,Records,5411.0,445110,1,65308 - Walmart Inc,Walmart,2012-12-19,2022-12-19,OPEN,1618144.015,452110,08/24/2022,"65308 - Walmart Inc
			   11901 Standiford Pl.Okolona, KY 40229","11901 Standiford Pl, Okolona, KY 40229",NonUnion,5411.0,445110/Supermarkets and Other Grocery (except Convenience) Stores,Planned,Records,N,Private,Safety,09/02/2022,S,,1618144.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$5,000",$0,"$5,000",1618144.015
3,1616220.015,08/22/2022,552652,MI,Complaint,Partial,,445110,1,Walmart Supercenter # 2700,Walmart,2012-12-19,2022-12-19,CLOSED,1616220.015,552652,08/22/2022,"Walmart Supercenter # 2700
			   9190 Highland RoadWhite Lake, MI 48386","9190 Highland Road, White Lake, MI 48386",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,08/29/2022,,10/17/2022,1616220.015,,,,,,,,,,Current Penalty,"$2,250",$0,$0,$0,$0,"$2,250",1616220.015
4,1606171.015,07/06/2022,213400,NJ,Referral,Partial,,452319,2,Walmart Inc,Walmart,2012-12-19,2022-12-19,OPEN,1606171.015,213400,07/06/2022,"Walmart Inc
			   900 Springfield RdUnion, NJ 07083","702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452319,Referral,Partial,N,Private,Safety,07/06/2022,L,,1606171.015,,,,,,,,,,Current Penalty,"$29,004",$0,$0,$0,$0,"$29,004",1606171.015
5,1605577.015,07/01/2022,627500,TX,Complaint,Partial,,445110,1,Neighborhood Walmart,Walmart,2012-12-19,2022-12-19,OPEN,1605577.015,627500,07/01/2022,"Neighborhood Walmart
			   4716 Hondo Pass Dr.El Paso, TX 79904","4716 Hondo Pass Dr., El Paso, TX 79904",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,07/01/2022,,,1605577.015,,,,,,,,,,Current Penalty,"$12,431",$0,$0,$0,$0,"$12,431",1605577.015
6,1605398.015,06/30/2022,213100,NY,Complaint,Partial,,452210,1,Walmart,Walmart,2012-12-19,2022-12-19,OPEN,1605398.015,213100,06/30/2022,"Walmart
			   101 Sanford Farms Shopping Ctr.Amsterdam, NY 12010",702 Sw 8th Street Mail Stop,NonUnion,,452210,Complaint,Partial,N,Private,Safety,06/30/2022,,,1605398.015,,,,,,,,,,Current Penalty,"$8,287",$0,$0,$0,$0,"$8,287",1605398.015
7,1604505.015,06/28/2022,522300,OH,Referral,Partial,,452210,1,Walmart Supercenter,Walmart,2012-12-19,2022-12-19,CLOSED,1604505.015,522300,06/28/2022,"Walmart Supercenter
			   2016 Millennium Blvd.Cortland, OH 44410","2016 Millennium Blvd., Cortland, OH 44410",NonUnion,,452210,Referral,Partial,N,Private,Health,06/28/2022,,11/17/2022,1604505.015,,,,,,,,,,Current Penalty,$0,$0,$0,"$10,360",$0,"$10,360",1604505.015
8,1602840.015,06/16/2022,453720,NC,Complaint,Partial,5311.0,452111,1,152091 - Walmart Inc.,Walmart,2012-12-19,2022-12-19,CLOSED,1602840.015,453720,06/16/2022,"152091 - Walmart Inc.
			   548 Cc Camp RoadElkin, NC 28621","702 Sw 8th Street, Mail Stop 0505, Bentonville, AR 72716",NonUnion,5311.0,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,07/22/2022,,10/04/2022,1602840.015,,,,,,,,,,Current Penalty,$0,$0,$0,$950,$0,$950,1602840.015
9,1602445.015,06/15/2022,950615,CA,Complaint,Partial,,453998,1,Walmart Neighborhood Market,Walmart,2012-12-19,2022-12-19,CLOSED,1602445.015,950615,06/15/2022,"Walmart Neighborhood Market
			   941 Alamo DriveVacaville, CA 95687","708 Sw 8th Street, Bentonville, AR 72716",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Complaint,Partial,N,Private,Health,08/24/2022,,09/12/2022,1602445.015,,,,,,,,,,Current Penalty,$0,$0,$0,$600,$0,$600,1602445.015
